universe,cagr,sharpe,max_dd,alpha,trades,roll3y_min,h1_alpha,h2_alpha,headline_ok
Top-500,0.026096550720245748,-0.143734358950072,-0.6857353755272898,-0.12283505034355913,1758,-0.24791342967749141,-0.10727568547667349,-0.1402010206154981,False
All-filtered,0.037897912304829084,-0.09842890002748242,-0.7754964049480751,-0.10944639375272835,1770,-0.34734743719488215,-0.03682391199236326,-0.1757538528183853,False
