cagr,max_dd,sharpe,calmar,alpha,vol,final,trades,costs,turnover,roll3y_min,signal,universe,freq,stress
-0.29927152125894074,-0.9962674506620759,-1.3447563661976336,-0.30039275202663496,-0.4287018408670882,0.27088291263415754,596.6882950948093,2487,96808.28468393534,0.7256405209984312,-0.5496239779193519,ShortRev-21,Filtered-500,monthly,False
-1.0,-1.0001668332053035,,,,0.7776336866390593,-19.535205874141393,920,27300.135463022983,0.28742382418603757,-0.9589954099266834,ShortRev-21,Unfiltered >=Rs1,monthly,False
-1.0,-1.0000636171799042,,,,0.415298535755847,-7.309130299650902,781,35593.29216125264,0.23722277819911375,-0.8783124464006655,ShortRev-21,Unfiltered >=Rs1 [x5 cost],monthly,True
-0.42661145327913574,-0.9997293852182466,-1.437901108724187,-0.4267269318946787,-0.5154032084412036,0.3418951764459866,33.22012530527787,1210,37236.35940676284,0.35607255913603797,-0.8453660511165737,ShortRev-21,Unfiltered >=Rs5,monthly,False
-0.4345721804408843,-0.9997748472476302,-1.4273415712094084,-0.43467004759847383,-0.5162892606020728,0.35000184294890896,27.161897139742397,943,43044.8906086066,0.2826243742082804,-0.8705426104272987,ShortRev-21,Unfiltered >=Rs5 [x5 cost],monthly,True
0.16971610607540222,-0.568335542686177,0.37450831614113994,0.29861955364124726,0.020782390812172646,0.279609561556273,955945.9188115136,877,63814.09021409201,0.5922958667914909,-0.09488033483310432,PureMom,Filtered-500,quarterly,False
0.2626893050302237,-0.597422601753607,0.738164398648012,0.4397043303335949,0.12260616264191504,0.26781202858374414,2875944.911114878,909,194727.39098716708,0.6362619501924468,-0.09791662092182674,PureMom,Unfiltered >=Rs1,quarterly,False
0.23246199197572937,-0.6143512136138171,0.6246999451495234,0.3783861524555491,0.09249632339546918,0.2680678832709789,2028795.6842849837,911,388982.3206168587,0.6374370781041236,-0.11710406801323336,PureMom,Unfiltered >=Rs1 [x5 cost],quarterly,True
0.23515277192643658,-0.5612242522465821,0.6350496216730259,0.41899966187334103,0.09473003302079078,0.2679361834405513,2093525.238543967,905,155898.65334644003,0.6272960444558864,-0.061797448679586586,PureMom,Unfiltered >=Rs5,quarterly,False
0.2072760085048322,-0.5800910036594352,0.5305474571505764,0.35731636449670157,0.06699220076629644,0.26816829783514046,1506968.5925495315,906,311316.50773657474,0.6280309047235233,-0.0824861704803811,PureMom,Unfiltered >=Rs5 [x5 cost],quarterly,True
0.16542618860777347,-0.3298683583796933,0.6556312073400762,0.5014915326233276,0.046855608472728155,0.1531748145656562,906678.9678137369,720,57289.63781840956,0.41645840688528013,0.01770551051103908,Mom+LowVol,Filtered-500,quarterly,False
0.1620393377443512,-0.30934834571949565,0.6386886654518186,0.5238086448061429,0.04584699884904414,0.15193527456089112,869463.5511513955,752,59075.71409942086,0.46723784465184415,0.009871871139213173,Mom+LowVol,Unfiltered >=Rs1,quarterly,False
0.1500778537079721,-0.30865570778257717,0.5582804769714178,0.48623061205040063,0.034004407587124336,0.15239267217350289,749098.227733251,747,102986.42920572143,0.46938578985850105,0.0012707343595974585,Mom+LowVol,Unfiltered >=Rs1 [x5 cost],quarterly,True
0.17086218937247089,-0.30867640851678463,0.6929473374339472,0.553531739576334,0.05450816938926528,0.15277090141436878,969523.3609166932,756,61914.471596327545,0.4662394830838763,0.02271411344628671,Mom+LowVol,Unfiltered >=Rs5,quarterly,False
0.15851101868842288,-0.30985005522226106,0.6095789579975763,0.5115733110801612,0.04214829950989091,0.15340263547744487,832209.0028982002,747,107087.87517245303,0.46764235500836704,0.011331644698883592,Mom+LowVol,Unfiltered >=Rs5 [x5 cost],quarterly,True
