type,symbol,date,detail,touches_watch
symbol_change,PROZONECSC / PROZONER / PROZONINTU,,ISIN INE195N01013 maps to 3 symbols,False
symbol_change,WORTH / WORTHPERI,,ISIN INE196Y01018 maps to 2 symbols,False
symbol_change,MERCK / PGHL,,ISIN INE199A01012 maps to 2 symbols,False
symbol_change,ALSTOMT&D / AREVAT&D / GET&D / GVT&D,,ISIN INE200A01026 maps to 4 symbols,False
symbol_change,DALMIAREF / SHRINATRAJ,,ISIN INE200F01017 maps to 2 symbols,False
symbol_change,EXPLEOSOL / SQSBFSI / THINKSOFT,,ISIN INE201K01015 maps to 3 symbols,False
symbol_change,DEWANHOUS / DHFL,,ISIN INE202B01012 maps to 2 symbols,False
symbol_change,SUNDARMHLD / TSFINV,,ISIN INE202Z01029 maps to 2 symbols,False
symbol_change,SESAGOA / SSLT / VEDL,,ISIN INE205A01025 maps to 3 symbols,False
symbol_change,AEGISCHEM / AEGISLOG,,ISIN INE208C01025 maps to 2 symbols,False
symbol_change,ATFL / SUNDROP,,ISIN INE209A01019 maps to 2 symbols,False
symbol_change,CEBBCO / JWL,,ISIN INE209L01016 maps to 2 symbols,False
symbol_change,LTI / LTIM / LTM,,ISIN INE214T01019 maps to 3 symbols,False
symbol_change,ZUARIAGRO / ZUARIGLOB / ZUARIIND,,ISIN INE217A01012 maps to 3 symbols,False
symbol_change,GREENFIRE / PROSEED,,ISIN INE217G01027 maps to 2 symbols,False
symbol_change,EQUIPPP / PROINDIA,,ISIN INE217G01035 maps to 2 symbols,False
symbol_change,FOURSOFT / PALRED,,ISIN INE218G01017 maps to 2 symbols,False
symbol_change,KALPATPOWR / KPIL,,ISIN INE220B01022 maps to 2 symbols,False
symbol_change,FCEL / FCONSUMER / FVIL,,ISIN INE220J01025 maps to 3 symbols,False
symbol_change,GATECH / STAMPEDE,,ISIN INE224E01028 maps to 2 symbols,False
symbol_change,GATECHDVR / SCAPDVR,,ISIN INE224E01036 maps to 2 symbols,False
symbol_change,OMINFRAL / OMMETALS,,ISIN INE239D01028 maps to 2 symbols,False
symbol_change,LEEL / LLOYDELENG,,ISIN INE245C01019 maps to 2 symbols,False
symbol_change,COREEDUTEC / COREPROTEC,,ISIN INE247G01024 maps to 2 symbols,False
symbol_change,FEDDERELEC / FEDDERLOYD,,ISIN INE249C01011 maps to 2 symbols,False
symbol_change,EPL / ESSELPACK,,ISIN INE255A01020 maps to 2 symbols,False
symbol_change,GOLDINFRA / OLECTRA,,ISIN INE260D01016 maps to 2 symbols,False
symbol_change,LAXMIMACH / LMW,,ISIN INE269B01029 maps to 2 symbols,False
symbol_change,DHANI / IBSEC / IBVENTURES,,ISIN INE274G01010 maps to 3 symbols,False
symbol_change,HUHTAMAKI / PAPERPROD,,ISIN INE275B01026 maps to 2 symbols,False
symbol_change,HOTELRUGBY / UNIVAFOODS,,ISIN INE275F01019 maps to 2 symbols,False
symbol_change,GARFIBRES / GARWALLROP,,ISIN INE276A01018 maps to 2 symbols,False
symbol_change,KARDA / KBCGLOBAL,,ISIN INE278R01034 maps to 2 symbols,False
symbol_change,ATLANTA / ATLANTAA,,ISIN INE285H01022 maps to 2 symbols,False
symbol_change,TEAMGTY / TIMESGTY,,ISIN INE289C01025 maps to 2 symbols,False
symbol_change,LLOYDSTEEL / UTTAMVALUE,,ISIN INE292A01015 maps to 2 symbols,False
symbol_change,HBLENGINE / HBLPOWER,,ISIN INE292B01021 maps to 2 symbols,False
symbol_change,SMLISUZU / SMLMAH,,ISIN INE294B01019 maps to 2 symbols,False
symbol_change,NACLIND / NAGAAGRI,,ISIN INE295D01020 maps to 2 symbols,False
symbol_change,NAM-INDIA / RNAM,,ISIN INE298J01013 maps to 2 symbols,False
symbol_change,ELAND / MUDRA,,ISIN INE311H01018 maps to 2 symbols,False
symbol_change,MOHOTAIND / MOHOTAMILL / RAIREKMOH,,ISIN INE313D01013 maps to 3 symbols,False
symbol_change,ZENITHBIR / ZENITHSTL,,ISIN INE318D01020 maps to 2 symbols,False
symbol_change,BYKE / THEBYKE,,ISIN INE319B01014 maps to 2 symbols,False
symbol_change,HALEOSLABS / SMSLIFE,,ISIN INE320X01016 maps to 2 symbols,False
symbol_change,MADRASCEM / RAMCOCEM,,ISIN INE331A01037 maps to 2 symbols,False
symbol_change,NTL / SUJANATWR,,ISIN INE333I01036 maps to 2 symbols,False
symbol_change,WABCO-TVS / WABCOINDIA / ZFCVINDIA,,ISIN INE342J01019 maps to 3 symbols,False
symbol_change,HINDUJAVEN / NDLVENTURE / NXTDIGITAL,,ISIN INE353A01023 maps to 3 symbols,False
symbol_change,AGRE / FMNL,,ISIN INE360L01017 maps to 2 symbols,False
symbol_change,BARBEQUE / UFBL,,ISIN INE382M01027 maps to 2 symbols,False
symbol_change,TCLCONS / TICL,,ISIN INE388G01026 maps to 2 symbols,False
symbol_change,MRO-TEK / UMIYA-MRO,,ISIN INE398B01018 maps to 2 symbols,False
symbol_change,IBPOW / RTNPOWER,,ISIN INE399K01017 maps to 2 symbols,False
symbol_change,ADANIGAS / ATGL,,ISIN INE399L01023 maps to 2 symbols,False
symbol_change,MINDAIND / UNOMINDA,,ISIN INE405E01023 maps to 2 symbols,False
symbol_change,NUMERICPW / SWELECTES,,ISIN INE409B01013 maps to 2 symbols,False
symbol_change,AGI / HSIL,,ISIN INE415A01038 maps to 2 symbols,False
symbol_change,AHMEDFORGE / METALFORGE,,ISIN INE425A01011 maps to 2 symbols,False
symbol_change,BCG / LYCOS,,ISIN INE425B01027 maps to 2 symbols,False
symbol_change,CESCVENT / RPSGVENT,,ISIN INE425Y01011 maps to 2 symbols,False
symbol_change,HORIZONINF / SKIL,,ISIN INE429F01012 maps to 2 symbols,False
symbol_change,PERIATEA / PKTEA,,ISIN INE431F01018 maps to 2 symbols,False
symbol_change,ANDPAPER / APPAPER / IPAPPM,,ISIN INE435A01028 maps to 3 symbols,False
symbol_change,TEXINFRA / TEXMACOLTD,,ISIN INE435C01024 maps to 2 symbols,False
symbol_change,DALMIABEL / DALMIABHA,,ISIN INE439L01019 maps to 2 symbols,False
symbol_change,PITTIENG / PITTILAM,,ISIN INE450D01021 maps to 2 symbols,False
symbol_change,MAXWELL / VIPCLOTHNG,,ISIN INE450G01024 maps to 2 symbols,False
symbol_change,ADHUNIKIND / INCREDIBLE,,ISIN INE452L01012 maps to 2 symbols,False
symbol_change,HALONIX / PHOENIXLL,,ISIN INE455B01016 maps to 2 symbols,False
symbol_change,GANESHHOU / GANESHHOUC,,ISIN INE460C01014 maps to 2 symbols,False
symbol_change,BOC / LINDEINDIA,,ISIN INE473A01011 maps to 2 symbols,False
symbol_change,HYDROS&S / KINGFA,,ISIN INE473D01015 maps to 2 symbols,False
symbol_change,DPL / DPTL / DVL,,ISIN INE477B01010 maps to 3 symbols,False
symbol_change,KRITI / KRITIIND,,ISIN INE479D01038 maps to 2 symbols,False
symbol_change,ACRYSIL / CARYSIL,,ISIN INE482D01024 maps to 2 symbols,False
symbol_change,GAL / SHAH,,ISIN INE482J01021 maps to 2 symbols,False
symbol_change,CCAVENUE / INFIBEAM,,ISIN INE483S01020 maps to 2 symbols,False
symbol_change,TIDEWATER / VEEDOL,,ISIN INE484C01030 maps to 2 symbols,False
symbol_change,IIFLCAPS / IIFLSEC,,ISIN INE489L01022 maps to 2 symbols,False
symbol_change,CLNINDIA / HEUBACHIND / SUDARCOLOR,,ISIN INE492A01029 maps to 3 symbols,False
symbol_change,SALONA / SALONACOT,,ISIN INE498E01010 maps to 2 symbols,False
symbol_change,L&TFH / LTF,,ISIN INE498L01015 maps to 2 symbols,False
symbol_change,DCMSHRIRAM / DCMSRMCONS,,ISIN INE499A01024 maps to 2 symbols,False
symbol_change,DCB / DCBBANK,,ISIN INE503A01015 maps to 2 symbols,False
symbol_change,DHARAMSI / DMCC,,ISIN INE505A01010 maps to 2 symbols,False
