variant,cagr,gross_cagr,total_return,max_drawdown,sharpe,sortino,calmar,annual_vol,alpha,beta,excess_vs_bm,final_value,time_underwater,trades,avg_turnover,total_costs,avg_exposure,roll3y_min,roll3y_med,roll3y_max
Pure Momentum,0.13907529406243735,0.14992751833001128,5.52254311627661,-0.6120387371641989,0.23505790588090006,0.32699139435450547,0.22723282958661156,0.31513636516429305,-0.008360672828601645,1.1047141838157666,0.002877332132596555,3261271.5581383053,0.9417065615319629,434,0.5695633312047563,160555.8863396658,1.0,-0.15298632672058243,0.17431103298868,0.5451788728413525
Mom + LowVol 50/50,0.13666221145292146,0.14428083802229064,5.326352713473297,-0.3664307780311947,0.4130683021028153,0.5523482386281685,0.3729550563061251,0.17348755905042618,0.020015643873634165,0.6921092564566037,0.00046424952308066203,3163176.356736649,0.9031258800337933,378,0.382726009412996,109174.28594917819,1.0,-0.029861010353201656,0.15602333827947867,0.47656057016946374
Low-Vol only,0.0933175946428344,0.09733953654194871,2.6140128181486117,-0.2995493864905343,0.21822449050873288,0.2989049675538321,0.31152657575475695,0.12976359608776902,-0.006521501541273483,0.4668744136497708,-0.04288036728700639,1807006.4090743058,0.9129822585187272,306,0.17325187699171296,36024.796134154654,1.0,-0.025763901906626585,0.12258624927493489,0.25976642932355354
Vol-Managed Mom,0.10835577044704725,0.11710946708920167,3.3997623433857393,-0.47776631314342466,0.1783897848361445,0.24687394411829136,0.22679658960073862,0.24303953551415858,-0.020060950661974275,0.8498396263468859,-0.027842191482793543,2199881.1716928696,0.9431146156012391,433,0.5132503957443688,112693.40583605142,0.7748578480549694,-0.11031813485599551,0.13511557098119908,0.44467779769489035
