year,Pure Momentum,Mom + LowVol 50/50,Low-Vol only,Vol-Managed Mom,NIFTY500_price
2012,0.026925207049534716,-0.08871253830741299,-0.01778893247225355,0.026925207049534716,0.31671061762664876
2013,0.016172883020374007,0.14888855776607546,-0.018479796210815636,-0.029108313474574987,0.026879361497639254
2014,0.7312993661482807,0.3285501223796652,-0.08038310068336141,0.6308986072847045,0.37640843281686664
2015,-0.16785504078858537,0.07446839071703915,0.14300043450291477,-0.13347719530075097,-0.009040538748323002
2016,-0.4149383335625252,-0.06835138536943974,0.10921351763360487,-0.30410802123895475,0.033929800922462894
2017,0.3502148745229188,0.6509757107681491,0.5167080583570844,0.3207836335764509,0.355323098893255
2018,0.19822227721310037,-0.284245510168186,0.10981549976517813,0.15707602212849459,-0.02803540198208765
2019,-0.19354438979610877,0.11771297368224087,0.043681489428542886,-0.1548816780783746,0.07334826427771679
2020,0.9866114891025197,0.18143105234225998,-0.0024630998168686524,0.7217410855874269,0.1648118278210653
2021,0.15956358867869413,0.3045297472981685,0.13966344481368687,0.10075095481302898,0.29558482399339847
2022,-0.1257847257755369,0.07893115988738786,0.05996267542324496,-0.09425920060839932,0.016064217407890657
2023,1.03246993899941,0.4939394174038343,0.3473580249182724,0.713980106262061,0.25158387363796675
2024,0.24868750910605364,0.4992842454315569,0.09505401742843511,0.18040423909477288,0.14925396132412438
2025,-0.33333567699433586,-0.011090017853556788,0.036401797870805774,-0.2589913399924252,0.061816669483762965
2026,0.33737381117719223,-0.10433335218128836,0.004402101859276142,0.14053571660869002,-0.05238701690328762
