signal,slice,cagr,gross_cagr,cost_drag,max_dd,sharpe,calmar,alpha,vol,final,trades,costs,turnover,tuw,roll3y_min,roll3y_med
PureMom,Liquid Top-500,0.16971610607540222,0.191346947937022,0.021630841861619787,-0.568335542686177,0.37450831614113994,0.29861955364124726,0.020782390812172646,0.279609561556273,955945.9188115136,877,63814.09021409201,0.5922958667914909,0.9205857504928189,-0.09488033483310432,0.20533762177726944
PureMom,Broad Top-1000,0.15174721479657505,0.1750560928912288,0.023308878094653762,-0.5369939201635267,0.3127691061004038,0.2825864671807916,0.0063907550118665335,0.27735224836665234,764910.2009019987,905,73144.10646044096,0.6363929946234532,0.9163615882849901,-0.07565221321294213,0.14179081603692179
PureMom,SmallCap 300-1000,0.17017808153176306,0.1949600935752953,0.024782012043532253,-0.6962732059797263,0.3785962884545735,0.2444127966870496,0.02513761591817759,0.27781065144906464,961397.430288543,965,89461.74972649143,0.7280902480772531,0.9124190368910167,-0.25595767338986575,0.2808058447610272
PureMom,All-Equity filtered,0.14769910424172905,0.17119947254185952,0.02350036830013047,-0.5369939201635267,0.30013243582662913,0.27504800090986387,0.002986332399676106,0.2755420420120803,727091.9472318033,906,74743.14108296289,0.6382144619980099,0.9155167558434244,-0.07565221321294213,0.14118188097089657
Mom+LowVol,Liquid Top-500,0.16542618860777347,0.17866245107415146,0.01323626246637799,-0.3298683583796933,0.6556312073400762,0.5014915326233276,0.046855608472728155,0.1531748145656562,906678.9678137369,720,57289.63781840956,0.41645840688528013,0.8555336524922557,0.01770551051103908,0.21742132060216413
Mom+LowVol,Broad Top-1000,0.16956716900335178,0.18409353590074962,0.014526366897397835,-0.3298001172083022,0.6769160114623728,0.5141513303230664,0.051423057890925813,0.154475839295706,954194.5375555757,736,56232.893328594844,0.43103296720428297,0.8679245283018868,0.014999773228813407,0.21214032818969786
Mom+LowVol,SmallCap 300-1000,0.21821755903676765,0.23646876668585493,0.018251207649087275,-0.34807978846965676,1.01703987413129,0.6269182131952209,0.10847379017117673,0.15065049358820787,1716057.3306992883,816,83862.14882682868,0.5564346772503552,0.8558152633061109,-0.06279611585942968,0.2693631753055663
Mom+LowVol,All-Equity filtered,0.17171047076692303,0.18643294271367528,0.014722471946752247,-0.3298001172083022,0.6912730126731161,0.5206501205045675,0.05368009894247358,0.15436805547243815,979688.1280906072,732,56884.59489993756,0.434074820470134,0.8659532526049001,0.014999773228813407,0.21448625283583655
