SYMBOL,latest_ISIN,reason
GOLDBND,INF194KB1KJ7,fund/ETF (INF)
GOLDCASE,INF0R8F01042,fund/ETF (INF)
GOLDETF,INF769K01JP9,fund/ETF (INF)
GOLDETFADD,INF740KA1SW3,fund/ETF (INF)
GOLDIETF,INF109KC1NT3,fund/ETF (INF)
GOLDIWIN,INF109KB1WF4,fund/ETF (INF)
GOLDSHARE,INF789F1AUX7,fund/ETF (INF)
GROWEV,INF666M01IH2,fund/ETF (INF)
GROWWCAPM,INF666M01MM4,fund/ETF (INF)
GROWWCHEM,INF666M01NP5,fund/ETF (INF)
GROWWDEFNC,INF666M01IO8,fund/ETF (INF)
GROWWEV,INF666M01IH2,fund/ETF (INF)
GROWWGOLD,INF666M01OE7,fund/ETF (INF)
GROWWHOSPI,INF666M01OD9,fund/ETF (INF)
GROWWLIQID,INF666M01IP5,fund/ETF (INF)
GROWWLOVOL,INF666M01LB9,fund/ETF (INF)
GROWWMC150,INF666M01MV5,fund/ETF (INF)
GROWWMETAL,INF666M01NI0,fund/ETF (INF)
GROWWMOM50,INF666M01KJ4,fund/ETF (INF)
GROWWN200,INF666M01JV1,fund/ETF (INF)
GROWWNET,INF666M01LI4,fund/ETF (INF)
GROWWNIFTY,INF666M01LL8,fund/ETF (INF)
GROWWNXT50,INF666M01LZ8,fund/ETF (INF)
GROWWPOWER,INF666M01LM6,fund/ETF (INF)
GROWWPSE,INF666M01NQ3,fund/ETF (INF)
GROWWPSUBK,INF666M01OG2,fund/ETF (INF)
GROWWRAIL,INF666M01JJ6,fund/ETF (INF)
GROWWRLTY,INF666M01MN2,fund/ETF (INF)
GROWWSC250,INF666M01MO0,fund/ETF (INF)
GROWWSLVR,INF666M01OF4,fund/ETF (INF)
GSEC10ABSL,INF209KC1142,fund/ETF (INF)
GSEC10IETF,INF109KC18O0,fund/ETF (INF)
GSEC10YEAR,INF769K01KF8,fund/ETF (INF)
GSEC5IETF,INF109KC14A8,fund/ETF (INF)
GUJNREDVR,IN9110D01011,DVR/special (IN9)
HBANKETF,INF179KC1AN8,fund/ETF (INF)
HDFCBSE500,INF179KC1EZ4,fund/ETF (INF)
HDFCGOLD,INF179KC1981,fund/ETF (INF)
HDFCGROWTH,INF179KC1DJ0,fund/ETF (INF)
HDFCLIQUID,INF179KC1JG3,fund/ETF (INF)
HDFCLOWVOL,INF179KC1HU8,fund/ETF (INF)
HDFCMFGETF,INF179KC1981,fund/ETF (INF)
HDFCMID150,INF179KC1HT0,fund/ETF (INF)
HDFCMOMENT,INF179KC1HV6,fund/ETF (INF)
HDFCNEXT50,INF179KC1HS2,fund/ETF (INF)
HDFCNIF100,INF179KC1HR4,fund/ETF (INF)
HDFCNIFBAN,INF179KC1HY0,fund/ETF (INF)
HDFCNIFETF,INF179KC1965,fund/ETF (INF)
HDFCNIFIT,INF179KC1IA8,fund/ETF (INF)
HDFCNIFTY,INF179KC1965,fund/ETF (INF)
HDFCPSUBK,INF179KC1HW4,fund/ETF (INF)
HDFCPVTBAN,INF179KC1HZ7,fund/ETF (INF)
HDFCQUAL,INF179KC1DL6,fund/ETF (INF)
HDFCSENETF,INF179KC1973,fund/ETF (INF)
HDFCSENSEX,INF179KC1HX2,fund/ETF (INF)
HDFCSILVER,INF179KC1DI2,fund/ETF (INF)
HDFCSML250,INF179KC1FB2,fund/ETF (INF)
HDFCVALUE,INF179KC1DK8,fund/ETF (INF)
HEALTHADD,INF740KA1UF4,fund/ETF (INF)
HEALTHCARE,INF769K01QA6,fund/ETF (INF)
HEALTHIETF,INF109KC1Q72,fund/ETF (INF)
HEALTHY,INF209KB10C2,fund/ETF (INF)
HNGSNGBEES,INF204KB19I1,fund/ETF (INF)
HSBCGOLD,INF336L01RX2,fund/ETF (INF)
IBMFNIFTY,INF666M01FS5,fund/ETF (INF)
ICCNX100,INF109KA1962,fund/ETF (INF)
ICICI10GS,INF109KC18O0,fund/ETF (INF)
ICICI500,INF109KC1V59,fund/ETF (INF)
ICICI5GSEC,INF109KC14A8,fund/ETF (INF)
ICICIALPLV,INF109KC1N59,fund/ETF (INF)
ICICIAUTO,INF109KC1Y49,fund/ETF (INF)
ICICIB22,INF109KB15Y7,fund/ETF (INF)
ICICIBANKN,INF109KC15I8,fund/ETF (INF)
ICICIBANKP,INF109KC1E35,fund/ETF (INF)
ICICICOMMO,INF109KC19O8,fund/ETF (INF)
ICICICONSU,INF109KC1V42,fund/ETF (INF)
ICICIFIN,INF109KC17L8,fund/ETF (INF)
ICICIFMCG,INF109KC1R48,fund/ETF (INF)
ICICIGOLD,INF109KC1NT3,fund/ETF (INF)
ICICIINFRA,INF109KC16E5,fund/ETF (INF)
ICICILIQ,INF109KC1KT9,fund/ETF (INF)
ICICILOVOL,INF109KB10T8,fund/ETF (INF)
ICICIM150,INF109KC1G82,fund/ETF (INF)
ICICIMCAP,INF109KB1XT3,fund/ETF (INF)
ICICIMOM30,INF109KC17C7,fund/ETF (INF)
ICICINF100,INF109KA1962,fund/ETF (INF)
ICICINIFTY,INF109K012R6,fund/ETF (INF)
ICICINV20,INF109KB1WY5,fund/ETF (INF)
ICICINXT50,INF109KC1NS5,fund/ETF (INF)
ICICIPHARM,INF109KC1Q72,fund/ETF (INF)
ICICIQTY30,INF109KC15T5,fund/ETF (INF)
ICICISENSX,INF346A01034,fund/ETF (INF)
ICICISILVE,INF109KC1Y56,fund/ETF (INF)
ICICITECH,INF109KC16I6,fund/ETF (INF)
ICNX100,INF109KA1962,fund/ETF (INF)
IDBIGOLD,INF397L01554,fund/ETF (INF)
IDFNIFTYET,INF194KA1U07,fund/ETF (INF)
IGOLD,INF109KB1WF4,fund/ETF (INF)
IIFLNIFTY,INF579M01019,fund/ETF (INF)
IMIDCAP,INF109KB1XT3,fund/ETF (INF)
