config,initial_capital,final_value,total_return_pct,peak_value,peak_date,maxdd_peak_value,maxdd_peak_date,maxdd_trough_value,maxdd_trough_date,max_dd_pct,peak_to_trough_days,recovery_days,pct_time_underwater,num_dd_periods,avg_dd_depth_pct,median_dd_depth_pct,avg_dd_duration_days
5 Stocks / Monthly (NET),500000.0,6091857.204985178,1118.3714409970357,8739573.264790915,2024-06-03,8739573.264790915,2024-06-03,3831897.177214182,2026-05-28,-0.5615464209617955,724,,90.48691246833663,128,-0.04020809729248749,-0.015105623658366598,25.1171875
5 Stocks / Quarterly (NET),500000.0,8202465.781086534,1540.493156217307,11270784.527827034,2024-09-26,11270784.527827034,2024-09-26,3596616.1983228624,2026-05-28,-0.6808903417998111,609,,88.60118209963412,156,-0.03879619127965109,-0.015352970565504174,20.17948717948718
10 Stocks / Monthly (NET),500000.0,6782496.184617137,1256.4992369234274,8635325.529245486,2024-09-27,8635325.529245486,2024-09-27,3480932.943924998,2026-05-28,-0.5968961526538832,608,,87.30650154798761,173,-0.032639288249205596,-0.013114047609135471,17.930635838150287
10 Stocks / Quarterly (NET),500000.0,6571200.512227317,1214.2401024454634,8142006.869547578,2024-09-27,8142006.869547578,2024-09-27,2827396.4711506576,2026-05-28,-0.6527396111976302,608,,87.33464677737123,168,-0.03258717431990688,-0.012541415930347473,18.470238095238095
