name,cagr,max_dd,sharpe,calmar,vol,final,tuw,roll3y_min
A. PlainMom,0.18069052260410046,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.2823983878961173,5467748.306877373,0.9183328639819769,-0.08528184349486134
B. SmartMom,0.18001387745484831,-0.5129145623662295,0.42556748742345196,0.3509626956668769,0.2702600195122664,5422794.966034474,0.9112925936355956,-0.08539140514894439
C. PlainMom+LowVol,0.1737438554819648,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.15721998461635622,5022294.485242869,0.8538439876091242,0.023609784438471282
D. SmartMom+LowVol,0.16232241672989445,-0.2723806752557079,0.6794829843301989,0.5959395488593601,0.1432301013774909,4362593.864256787,0.8541255984229794,0.09788022943649688
