cut,n,mean,median,win,std,p10,p25,p75,p90
above 200-DMA,10773,-0.032955698783029265,-0.7758482869682459,43.53476283300844,6.622837424684104,-6.634393213505303,-3.8773832633540155,2.8285636565539813,7.310249601509821
below 200-DMA,3313,-0.5459419505078873,-1.0712743407507728,39.81285843646242,5.454668572780038,-6.159591316767199,-3.692778887187674,1.852624489014108,5.687263978155695
12-1 momentum > 0,10333,-0.010551813896238806,-0.7600083502636847,43.66592470724862,6.564860933501424,-6.631847057284002,-3.8829140046580246,2.8632145277471457,7.450936734268771
12-1 momentum <= 0,4147,-0.45973701686369944,-1.0617396349596495,40.87292018326501,6.020068175128468,-6.351702118099625,-3.7575443943940536,2.1419566220253916,6.0830854479693
above 200DMA AND mom>0,8601,0.05563115701478539,-0.7332220648978349,43.77397976979421,6.678328989043369,-6.634938826882106,-3.8678429889286567,2.9571533622380843,7.539437005243278
smooth spike (max 1d < 5%),4565,-0.3003503936863189,-0.8825024331330622,42.365826944140196,6.027160673163221,-6.469690189874567,-3.8257041884631615,2.429430905413188,6.626283411043907
gappy spike (max 1d >= 8%),4573,0.025729940941066128,-0.8603098071071031,43.01333916466214,7.35723182920272,-6.962730901039853,-4.137820801543005,2.9224934068483392,7.683869247932012
