date,symbol,past5,liq20,close,vs200,mom12_1,max1d,fwd1,fwd3,fwd5,fwd10,fwd20,ex1,ex3,ex5,ex10,ex20
2022-01-03,AFFLE,10.302951312354569,357865008.0,1194.25,,42.93158475674084,5.9248793047259385,10.311913285665696,11.722838601632834,9.600169513423706,24.467234764234867,9.930916942510981,9.838776166728147,10.926183028895563,7.179870682275892,19.28257973735711,9.963778151397173
2022-01-03,ALLCARGO,11.326674422192484,137418520.0,40.73999786376953,85.38024916165854,160.4244056542731,4.46153298402443,-1.8532088684506176,-5.731465898159005,-7.646043267321156,-11.119290664777981,-15.905734087683355,-2.326345987388167,-6.528121470896275,-10.06634209846897,-16.30394569165574,-15.872872878797162
2022-01-03,CEATLTD,11.256727563552404,62820036.0,1209.75,-8.60364751927577,6.9764161038754935,11.665974933009227,-1.959078418836535,-4.17027908013019,-5.063029551560239,-4.265342061247157,-9.981401115933043,-2.4322155377740846,-4.966934652867461,-7.483328382708054,-9.449997088124915,-9.94853990704685
2022-01-03,DEEPAKFERT,10.25570918254035,50093548.0,403.1499938964844,,137.3605185244708,8.2281862809354,2.9889665119630093,4.973339604141236,8.38398085632257,40.1339503311742,41.73385416465594,2.51582939302546,4.1766840314039655,5.963682025174755,34.94929530429644,41.766715373542134
2022-01-03,EICHERMOT,11.474204196842441,1032070080.0,2718.800048828125,3.7214790713344215,0.1713321640956389,4.896028059170976,-0.5075786589776365,3.6173992845857317,3.5567143385022204,4.61600697903819,-3.553041633123677,-0.9807157779151863,2.8207437118484613,1.1364155073544056,-0.5686480478395683,-3.520180424237484
2022-01-03,ERIS,11.23480294389918,69668496.0,764.3499755859375,6.699663460050576,18.504197577468485,6.592445053261309,-1.0008456365870777,-0.20278509092389596,-2.5250197434982247,-2.531559652514437,-8.889900352228796,-1.4739827555246274,-0.9994406636611662,-4.9453185746460395,-7.716214679392195,-8.857039143342604
2022-01-03,EVERESTIND,11.461425547286774,54289678.0,581.5499877929688,44.24963785070868,22.894201345615773,6.190077945340411,5.966815052085339,1.8313171073187196,2.6137069084493536,3.9463524527149296,4.3762381121554395,5.493677933147789,1.0346615345814492,0.19340807730153875,-1.2383025741628284,4.409099321041632
2022-01-03,FORTIS,10.773087602381072,421543168.0,309.5,24.452629772832402,83.39224118239983,4.103603332646943,-1.696284329563813,-6.7366740237530305,-6.494347690958202,-6.494347690958202,-11.001611564771807,-2.1694214485013625,-7.533329596490301,-8.914646522106016,-11.67900271783596,-10.968750355885614
2022-01-03,JSWISPL,11.620792502755162,77294992.0,36.5,,4.102566710904121,6.4758965716098515,4.246573252220687,4.657536336820423,3.9726048299711048,17.534250755832616,5.6164362659193,3.773436133283137,3.860880764083152,1.55230599882329,12.349595728954858,5.6492974748054925
2022-01-03,LXCHEM,11.255522045051269,162263832.0,440.8500061035156,,,4.994584039068384,-1.803337211515088,-1.723943744651113,1.5991806045962287,6.544177317475497,3.096289828173271,-2.2764743304526376,-2.5205993173883834,-0.8211182265515862,1.3595222905977389,3.1291510370594637
