bucket,n,mean,median,win,std,p10,p25,p75,p90
down (<0%),414073,0.034678941683422816,-0.3920075920704802,45.75014550574416,4.955339448190005,-5.044391863758363,-2.73010920525127,2.3202152344449503,5.5893482132537
flat 0-5%,278332,-0.034749018119229536,-0.5083091935582603,44.46811721253754,4.884410997425403,-5.05556569949059,-2.8434767763133966,2.1849358529676883,5.452981211506789
up 5-10%,95319,-0.04336570033655666,-0.6629436069338919,44.088796567316066,5.698641107415787,-5.927693850577253,-3.3772202748994316,2.544632125702454,6.434455532434951
up 10-12%,16508,-0.15061308535224607,-0.8680756692619797,42.930700266537436,6.494393089256716,-6.635501695324541,-3.913307724924711,2.684752361762873,7.080422698122368
up 12-15%,13957,-0.024767488435807557,-0.8363341266667272,43.719997134054594,6.761209130852923,-7.028982277310152,-4.086157781169032,3.020925301946751,7.873749781116541
up 15-20%,10383,0.15880914151530803,-0.8388637653122029,44.23577000866801,7.55526297239861,-7.528614882651147,-4.4222879424413435,3.4341758394844906,8.753059220507653
up 20-30%,5543,0.25915464516211056,-0.9079530833967815,44.254014071802274,8.600489125005314,-8.724714499332133,-5.019719942435543,3.9853849642296,10.688412615138773
up 30%+,1521,-0.5310212909479717,-2.1631452296963705,39.71071663379356,10.338274255197291,-11.089822558146219,-6.995431801795307,4.132241221320416,12.331580906031839
ALL (baseline),835636,1.2176320761772631e-17,-0.4799037664841782,45.00428416200355,5.178031620879861,-5.297808762987859,-2.9085982090228035,2.334726001325656,5.765255632693242
