tier,n,mean,median,win,std,p10,p25,p75,p90
all (>=Rs1cr),24956,-0.19475792934529282,-1.0609880233206619,41.7574931880109,6.7624275311840245,-6.791608724755706,-4.098974594999805,2.6160000050311636,7.3908218489740065
liquid (>=Rs5cr),16508,-0.15061308535224607,-0.8680756692619797,42.930700266537436,6.494393089256716,-6.635501695324541,-3.913307724924711,2.684752361762873,7.080422698122368
very liquid (>=Rs25cr),7230,-0.08425291055413038,-0.6726604499634223,43.55463347164592,6.22807508799842,-6.41538049943688,-3.664986032032327,2.59867542603403,6.78982749527632
