bucket,n,mean,median,win,std,p10,p25,p75,p90
down (<0%),414073,0.4126955979778534,0.06191518548208652,50.5483332649074,5.906572633405593,-6.059585875672457,-2.8805989353367756,3.2762026688563317,7.229024046724101
flat 0-5%,278332,0.22309296709499207,-0.12406961396537741,48.64334679447566,5.540270276211936,-5.7755622226376016,-2.877696181132969,2.851999263279348,6.537552336038205
up 5-10%,95319,0.305907968529755,-0.13836544309473453,48.78775480229545,6.358217259511345,-6.626978538260695,-3.4148470130900055,3.392104744891522,7.626948279400061
up 10-12%,16508,0.2705638888043,-0.25642596897677006,48.11000726920281,7.174774046313572,-7.46952063015104,-3.847586463501371,3.740253135537097,8.41814408316804
up 12-15%,13957,0.40095764579109755,-0.19654134795590306,48.506125958300494,7.451072186578834,-7.712516261424196,-4.067068994988499,4.02162418606562,9.268161208986653
up 15-20%,10383,0.6233355611643786,-0.18784805883390598,48.58903977655783,8.138967022140472,-8.001137955424793,-4.28397161102253,4.488661173094844,9.946954757030745
up 20-30%,5543,0.718537693591241,-0.27435469130562273,48.40339166516327,9.21105491592004,-9.247849493569067,-4.964389428692966,4.991123789708018,11.926432813811484
up 30%+,1521,-0.14873871308229694,-1.6973680527140322,42.932281393819856,10.997367324376796,-12.05781577945716,-6.768054181987015,4.92657749724581,13.8233513773941
ALL (baseline),835636,0.3379823370875478,-0.03545294918997355,49.578285282108475,5.973447634693059,-6.152688897192398,-3.0006084605985666,3.1833705765871745,7.15935822945144
