variant,cagr_net,cagr_gross,cost_drag,max_drawdown,sharpe,calmar,alpha,annual_vol,beta,sortino,total_return,final_value,trades,avg_turnover,total_costs,time_underwater,roll3y_min,roll3y_med,roll3y_max,excess_vs_bmk
A. Momentum,0.18069052260410046,0.19384530263076205,0.013154780026661594,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.030535683165629462,0.2823983878961173,1.1411494581312298,0.5307224510687943,9.935496613754745,5467748.306877373,888,0.5929164724763364,230259.31999829412,0.9183328639819769,-0.08528184349486134,0.21771718921104632,0.541805513827845,0.04449256067425966
B. Frog-in-the-Pan,0.1441398019382416,0.1553195068626123,0.011179704924370704,-0.562539295895428,0.33238116335095963,0.2562306366683336,0.00034934784265372443,0.23809953951776228,1.0558611182874666,0.4095432457425271,5.9528521714855085,3476426.0857427544,867,0.5540919705426856,198916.0361194019,0.9025626584060827,-0.12026297001893627,0.18948928655399933,0.5086857811540777,0.007941840008400813
C. Mom + LowVol,0.1737438554819648,0.18165530662148455,0.007911451139519743,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.05363671957428828,0.15721998461635622,0.7384839040844801,0.8799897511723479,9.044588970485737,5022294.485242869,776,0.41907714135338814,214926.17000590087,0.8538439876091242,0.023609784438471282,0.22619538565256392,0.3634705895257275,0.03754589355212401
D. FIP + LowVol,0.1525394471114192,0.1595367098230045,0.006997262711585295,-0.29380843634943776,0.5873805493015587,0.5191799425731878,0.034615924625660016,0.14903361579730626,0.7092215710260102,0.7555013562336025,6.725222939966354,3862611.4699831773,751,0.3803843053606419,173527.27425853853,0.8611658687693607,0.04640699528612746,0.1782533603098414,0.35752024685768946,0.016341485181578408
