universe,cagr,total_return,max_drawdown,sharpe,sortino,calmar,annual_vol,final_value,time_underwater,trades,avg_turnover,total_costs,gross_cagr,alpha,beta,excess_vs_bm,roll3y_min,roll3y_med,roll3y_max
Fallback (49),0.26253436496863225,27.70866986349945,-0.3984879180580657,0.8950002368973694,1.132445287908725,0.6588264112197676,0.22070872925510043,14354334.931749724,0.8615254714325922,338,0.2321414250340437,261642.12448272904,0.26655291352083754,0.12071976764788886,1.0220142975580015,0.1485770013729022,0.05099110489286174,0.33595507579861894,0.6150679990196815
Biased 500,0.4767681704236453,273.3360459841335,-0.5475885195247246,1.3833235673412905,1.9032269772009593,0.8706686744226352,0.29766583910303235,137168022.99206674,0.8652980877390326,390,0.41518976937055785,1931401.6847225442,0.4855388149742892,0.3285579556733394,1.1033302899181903,0.3628108068279152,0.06009590055559699,0.4505549955226624,1.3670610508015018
Survivorship-Free,0.127505311235806,4.630732095692189,-0.6246458806762138,0.1986928894468332,0.2758069721247672,0.2041241528684611,0.3145825268826811,2815366.0478460947,0.9402985074626866,436,0.572055476829617,165574.97758377861,0.13816678274786187,-0.019596419571605073,1.1002351274493287,0.013547947640075941,-0.16717242294893342,0.17610796965683673,0.5455852789961506
