year,Fallback (49),Biased 500,Survivorship-Free,NIFTY500_price
2012,0.28559418433140116,0.24621004662462398,0.026925207049534716,0.3167106176266503
2013,0.08274569325726366,0.31806698074412965,0.016172883020374007,0.02687936149763992
2014,0.6207985695283449,0.4433022551714991,0.8473932242124678,0.376408432816864
2015,0.21077068462820625,0.7447968922113037,-0.20297663789449294,-0.009040538748323113
2016,0.22193008730455266,-0.28614035675476357,-0.4152301439973217,0.03392980092246334
2017,0.6392529742663322,1.9676241600920092,0.35001154310154226,0.3553230988932543
2018,0.16387819072221377,-0.1688016421720454,0.19820589277398892,-0.028035401982086317
2019,0.0968282798020541,-0.06376788436835557,-0.19369671270227706,0.07334826427771612
2020,0.533196440977308,0.5856766589625217,0.9852305080232369,0.16481182782106707
2021,0.6707244837402895,3.422074515842578,0.16060524575674529,0.2955848239934016
2022,0.1525341053088971,-0.03313562477690124,-0.12612876238297,0.016064217407890213
2023,0.3536242217869092,1.2674622834110458,1.033344102937245,0.25158387363796697
2024,-0.027481507858086895,1.1111246875643346,0.24872469349909188,0.14925396132412372
2025,0.23286965119656822,0.0484736156781449,-0.33375326184604037,0.06181666948376052
2026,-0.17161574056989548,0.03341677507142404,0.12500333467605929,-0.05238701690328773
