variant,n_stocks,buffer,cagr,max_drawdown,sharpe,calmar,annual_vol,total_trades_exec,total_costs,final_value,time_underwater_pct,recovery,recovery_days,total_return,cost_drag_cagr_pts,avg_turnover,peak_value,value_at_maxdd,rolling3y_cagr_min,rolling3y_cagr_median,rolling3y_cagr_max
Top3,3,20,0.2819686134974191,-0.40204783577207803,0.8659306803658458,0.7013310069333835,0.2505611804928223,201,257313.6133575823,17886385.90735336,0.8696875879538418,445 days (recovered 2017-04-10),445,34.77277181470672,0.0038576427427894355,0.21548520830170112,22829021.490397565,1064468.7204316023,0.15721756708302936,0.3504033400638913,0.5963113292781088
Top5,5,20,0.26253436496863225,-0.3984879180580657,0.8950002368973694,0.6588264112197676,0.22070872925510043,338,261642.12448272904,14354334.931749724,0.8615254714325922,148 days (recovered 2020-08-18),148,27.70866986349945,0.004018548552205292,0.2321414250340437,18434115.870845318,2354303.3039913247,0.05099110489286174,0.33595507579861894,0.6150679990196815
Top7,7,20,0.2410962546790245,-0.37361408453994077,0.8683282817486969,0.6453082596602442,0.202799169830551,475,234006.90354427893,11216863.394850876,0.8654658035462989,154 days (recovered 2020-08-24),154,21.43372678970175,0.004437840885478828,0.24738076768845985,13552169.805531394,2380229.8258050587,0.08214265797632847,0.3114674399102688,0.4653412549027627
Top10,10,20,0.20435476695478405,-0.387029611477112,0.7364865428691999,0.5280080926491825,0.1892156323887285,684,190008.97406248937,7276496.411865666,0.8699690402476781,226 days (recovered 2020-11-04),226,13.552992823731332,0.004920064967690818,0.26076832088857277,8927235.440089235,1963374.4806646435,0.05661076937555931,0.2635617950547492,0.40192463099591014
