architecture,cagr,sharpe,calmar,max_dd,alpha,roll3y_min,h1_alpha,h2_alpha
A champion,0.1654261886077737,0.6556312073400776,0.5014915326233288,-0.3298683583796929,0.04685560847272838,0.01770551051103908,0.06557304983159118,0.03263191241473533
B smalltail,0.21821755903676787,1.0170398741312916,0.626918213195219,-0.34807978846965815,0.10847379017117695,-0.06279611585942968,0.04150984705296609,0.17857443315145252
C breakout,0.22768710625560784,0.6626425295351231,0.5603594682838714,-0.4063232962814225,0.08483818819336014,-0.03657495242467079,0.11731984113946939,0.05513419618947321
B+C 50/50,0.22892345201648312,0.922803175119386,0.6183133208845262,-0.3702385898608773,0.1026271085525638,-0.045632976155875804,0.0834110533966192,0.12244447139831088
A+C 50/50,0.20200205438414587,0.7663361868336283,0.5977799455597569,-0.33792042688048457,0.07129230528549935,-0.006152949803090668,0.09622872268603788,0.04983408235512621
A+B 50/50,0.19410666897905782,0.9452889606257863,0.6390565213660461,-0.3037394385149779,0.07994949447873968,-0.020442972550409055,0.055363777824271626,0.10693251031794479
A+B+C 1/3,0.20985192530251995,0.9217906524238487,0.6329749737743183,-0.3315327366755274,0.08613083628155863,-0.022915718026319642,0.07947322038262208,0.09451342775634175
