variant,cagr_net,cagr_gross,cost_drag,max_drawdown,sharpe,calmar,alpha,annual_vol,beta,sortino,total_return,final_value,trades,avg_turnover,total_costs,time_underwater,roll3y_min,roll3y_med,roll3y_max,excess_vs_bmk
A. Momentum,0.18069052260410046,0.19384530263076205,0.013154780026661594,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.030535683165629462,0.2823983878961173,1.1411494581312298,0.5307224510687943,9.935496613754745,5467748.306877373,888,0.5929164724763364,230259.31999829412,0.9183328639819769,-0.08528184349486134,0.21771718921104632,0.541805513827845,0.04449256067425966
B. Low-MAX,0.10727973448140404,0.12296824411590679,0.015688509634502745,-0.382137744669044,0.28542554081337507,0.2807357712709464,-0.008677466547005866,0.14812877068015634,0.6828711406762795,0.36850436573355544,3.3386471295720774,2169323.564786039,1044,0.8367543586874102,224494.4550795685,0.9138270909602929,-0.06275832302577222,0.12728617786702778,0.29031320754610124,-0.02891822744843675
C. Mom + LowVol,0.1737438554819648,0.18165530662148455,0.007911451139519743,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.05363671957428828,0.15721998461635622,0.7384839040844801,0.8799897511723479,9.044588970485737,5022294.485242869,776,0.41907714135338814,214926.17000590087,0.8538439876091242,0.023609784438471282,0.22619538565256392,0.3634705895257275,0.03754589355212401
D. Low-MAX + LowVol,0.11840403477294204,0.12892983746942743,0.010525802696485398,-0.2595427559753204,0.44807469973205694,0.4562024254077079,0.012407775104588209,0.11918556170405734,0.5493857990273391,0.5925172870511434,4.0104284524607,2505214.22623035,851,0.5452358319577699,175499.8275266181,0.8729935229512813,0.041391113448286276,0.15517115901183776,0.25189158017630886,-0.01779392715689876
