variant,cagr,total_return,final_value,max_drawdown,sharpe,calmar,annual_vol,total_trades_exec,total_costs,cost_drag_cagr_pts,peak_value,value_at_maxdd,time_underwater_pct,recovery,avg_turnover,rolling3y_cagr_min,rolling3y_cagr_median,rolling3y_cagr_max
Baseline,0.21449215767497498,15.420119633459795,8210059.816729898,-0.4071799392371506,0.6732925166582167,0.526774865374814,0.2220315152423737,414,368733.66359675257,0.007742970199537069,11277005.408194005,2307237.649665064,0.8860118209963411,268 days (recovered 2020-12-16),0.47983031973566126,0.01252749863674385,0.2562954826363778,0.5380653519163814
Buffer10,0.2651407652067552,28.57408335868913,14787041.679344565,-0.416929320213701,0.8982065959752824,0.6359369618592784,0.22282264025175658,365,390592.4783349911,0.005751010383146626,20090676.887920026,2825284.9976593456,0.8668730650154799,236 days (recovered 2020-11-14),0.31840228399316134,0.010739607180709987,0.33117640598409226,0.6413848762535459
Buffer15,0.2584991588348171,26.41520762622318,13707603.81311159,-0.4024855995101062,0.8707274630861784,0.6422569134136843,0.22222700791931485,349,343825.2154843332,0.004632695184417335,18857757.507485963,3336572.367184823,0.8632141851956093,256 days (recovered 2020-12-04),0.2696624501811406,0.07365058232823496,0.32179669838362246,0.6309879672215157
Buffer20,0.26253436496863225,27.70866986349945,14354334.931749724,-0.3984879180580657,0.8950002368973694,0.6588264112197676,0.22070872925510043,338,261642.12448272904,0.004018548552205292,18434115.870845318,2354303.3039913247,0.8615254714325922,148 days (recovered 2020-08-18),0.2321414250340437,0.05099110489286174,0.33595507579861894,0.6150679990196815
