year,Baseline,Buffer10,Buffer15,Buffer20
2012,0.3387473466589246,0.28710166947271776,0.28559418433140116,0.28559418433140116
2013,0.08555754761997503,0.2506973069382554,0.2516743545144222,0.08274569325726366
2014,0.48012333245376104,0.6167183212910186,0.6220941176953532,0.6207985695283449
2015,0.4393780819298545,0.3719173972306997,0.27632061160318533,0.21077068462820625
2016,0.17584314930830813,0.2696040096084553,0.29667650996477746,0.22193008730455266
2017,0.7260996017089911,0.8164397544902817,0.8235175736922036,0.6392529742663322
2018,-0.01832824229505292,-0.027165124343035085,0.18604274478467908,0.16387819072221377
2019,0.1287287583894816,0.14102828276801205,0.04471873701298068,0.0968282798020541
2020,0.13831669327702167,0.2033880786793265,0.19832204316731294,0.533196440977308
2021,0.49278883900822823,0.6858199843182056,0.49190723550665605,0.6707244837402895
2022,-0.04686329576326953,0.15527662899694494,0.198052814226217,0.1525341053088971
2023,0.365188590081418,0.3299734303611457,0.3299593001750709,0.3536242217869092
2024,0.0971970611227988,0.04065035762618541,-0.010541384657170916,-0.027481507858086895
2025,0.0727956942528667,0.10262835638968681,0.16091434783026615,0.23286965119656822
2026,-0.1403435631628226,-0.12047717601932284,-0.17629106391533467,-0.17161574056989548
