year,No Filter,200 DMA,10-Mo SMA,12-Mo SMA,NIFTY500_price
2012,0.026925207049534716,0.02429413675958325,0.01015655917299374,0.01015655917299374,0.3167106176266503
2013,0.016172883020374007,-0.09110796832302526,-0.1350978291987256,-0.09496608045600685,0.02687936149763992
2014,0.8473932242124678,0.8461712713806893,0.846561562295914,0.8467494796899915,0.376408432816864
2015,-0.20297663789449294,-0.2719348838740553,-0.2127883082251334,-0.2127003360408085,-0.009040538748323113
2016,-0.4152301439973217,-0.38922082537072533,-0.2059905302447239,-0.1940270366728991,0.03392980092246334
2017,0.35001154310154226,0.3386499837055683,0.30475298640143555,0.35016021533084096,0.3553230988932543
2018,0.19820589277398892,-0.20108962374528438,-0.030663101525757686,0.12617340680097766,-0.028035401982086317
2019,-0.19369671270227706,-0.24744970309031245,-0.14707131895002767,-0.14738660890669752,0.07334826427771612
2020,0.9852305080232369,0.7912902908258796,0.7570475516947559,0.7580552848961573,0.16481182782106707
2021,0.16060524575674529,0.1595958183312911,0.1597266836198754,0.1599635318951238,0.2955848239934016
2022,-0.12612876238297,-0.05771981370649204,-0.07944400962079157,-0.05558639743379301,0.016064217407890213
2023,1.033344102937245,1.021896452447315,0.9983700786969905,0.9995692213432881,0.25158387363796697
2024,0.24872469349909188,0.20854613890182527,0.24863513098195655,0.24879418757695837,0.14925396132412372
2025,-0.33375326184604037,-0.15630774923704271,-0.1997198535954896,-0.2890999333037261,0.06181666948376052
2026,0.12500333467605929,-0.2047319561096459,-0.08637060337435032,-0.14028832203201824,-0.05238701690328773
