variant,cagr,total_return,max_drawdown,sharpe,sortino,calmar,annual_vol,alpha,beta,excess_vs_bm,final_value,time_underwater,recovery_days,pct_in_cash,n_switches,trades,avg_turnover,total_costs,gross_cagr,roll3y_min,roll3y_med,roll3y_max
No Filter,0.127505311235806,4.630732095692189,-0.6246458806762138,0.1986928894468332,0.2758069721247672,0.2041241528684611,0.3145825268826811,-0.019596419571605073,1.1002351274493287,0.013547947640075941,2815366.0478460947,0.9402985074626866,1436.0,0.0,0,436,0.5820915378266278,165574.97758377861,0.13816678274786187,-0.16717242294893342,0.17610796965683673,0.5455852789961506
200 DMA,0.057794679394956194,1.245983541463569,-0.6765281528401897,-0.028166755293390106,-0.03725173165502086,0.08542834345078396,0.25580939408859354,-0.054279575367217,0.6308362586086507,-0.05616268420077386,1122991.7707317844,0.9532526049000282,1084.0,0.25035201351731906,99,778,2.073364181443235,200793.00478744882,0.08047106891661993,-0.20636443155744033,0.11787299090669245,0.5812700342755319
10-Mo SMA,0.11171493522534348,3.5957448368889464,-0.5020256917733761,0.17771482435844202,0.23727434705759898,0.2225283228647464,0.26286459440840887,-0.0028287587638271133,0.663928907885645,-0.0022424283703865733,2297872.4184444733,0.9442410588566601,1436.0,0.2624612785130949,31,456,0.9236513374624917,160022.60261073775,0.1240448193036221,-0.09521894797414154,0.15307099298332671,0.5632116525962647
12-Mo SMA,0.11885661030092987,4.039706402795669,-0.5022870354741621,0.19758146103068533,0.26343946470708474,0.23663085428579395,0.27257926943138494,-0.0008752652061294192,0.7334550859263307,0.004899246705199811,2519853.2013978343,0.9380456209518445,,0.2224725429456491,21,431,0.7885038566978488,191819.83004357983,0.13008979806473464,-0.08023431698805106,0.16690336546908102,0.5770686547281474
