test,variant,cagr,sharpe,max_dd,roll3y_min,gates
weight,wB=0.3,0.1831646348621443,0.8458635913489165,-0.3071150347453131,-0.004894937855496551,fail:roll3y>0
weight,wB=0.4,0.18872582332152632,0.8997934541379092,-0.2994712859368621,-0.012622935798779156,fail:roll3y>0
weight,wB=0.5,0.19410666897905782,0.9452889606257863,-0.3037394385149779,-0.020442972550409055,fail:roll3y>0
weight,wB=0.6,0.19930457045988637,0.9807133707605343,-0.3119416718468138,-0.028351895058837395,fail:roll3y>0
weight,wB=0.7,0.2043170067107365,1.0052119249127083,-0.3202863417627763,-0.03634653847084557,fail:roll3y>0
param,base,0.19410666897905782,0.9452889606257863,-0.3037394385149779,-0.020442972550409055,
param,wmom0.4,0.1860890550860681,0.9162557323858317,-0.31433929154792534,-0.008726411128333278,
param,wmom0.6,0.2133766200346272,1.036271665379761,-0.312958459483615,-0.02358141261095914,
param,vollb126,0.1849721564362099,0.8476508514809876,-0.3276689047933517,-0.003943021375533706,
param,vollb378,0.2025112187418594,0.9993106947229758,-0.30876755028209063,-7.26682521960953e-05,
param,band200,0.1791581604235155,0.8242486816524464,-0.2981717596421285,0.02517404629557296,
param,band400,0.19432527736591187,0.8968536161206322,-0.35753624613246154,-0.0353178333564671,
impl,daily (idealised),0.19410666897905782,0.9452889606257863,-0.3037394385149779,-0.020442972550409055,fail:roll3y>0
impl,drift 50/50,0.1956769674097536,0.9514659957910847,-0.3033145962869006,-0.02018569311229146,fail:roll3y>0
impl,monthly-rebal,0.1937047246622896,0.942798992467059,-0.30421615793502627,-0.02077089883017169,fail:roll3y>0
impl,quarterly-rebal,0.19403253391449105,0.9447168678957226,-0.30506614826505885,-0.02100002343265872,fail:roll3y>0
stress,x5,0.17945831443702365,0.8366758975826222,-0.31353418335192584,-0.02908441449535626,
stress,x10,0.1586392576656852,0.6812465319230797,-0.3468356944164152,-0.04952326007491059,
