signal,N,cagr,max_dd,sharpe,calmar,alpha,vol,final,tuw,roll3y_min,roll3y_med
PureMom,3,0.02992809393358109,-0.7190905782765113,-0.09544322859818322,0.04161936595708373,-0.022790397190294076,0.3674635338885268,764545.7155030955,0.9690228104759223,-0.21592123233795923,0.039433725517456164
PureMom,5,0.13907529406243735,-0.6120387371641989,0.23505790588090006,0.22723282958661156,0.08570706146069608,0.31513636516429305,3261271.5581383053,0.9417065615319629,-0.15298632672058243,0.17431103298868
PureMom,10,0.18069052260410046,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.12762606373884128,0.2823983878961173,5467748.306877373,0.9183328639819769,-0.08528184349486134,0.21771718921104632
Mom+LowVol,3,0.10278493198536487,-0.4238488154545319,0.1916071603871055,0.24250376133560542,0.045446632547403214,0.19719999977572686,2045899.9672445103,0.9321317938608843,-0.08717995577486681,0.09377003451881583
Mom+LowVol,5,0.13666221145292146,-0.3664307780311947,0.4130683021028153,0.3729550563061251,0.07876463646413859,0.17348755905042618,3163176.356736649,0.9031258800337933,-0.029861010353201656,0.15602333827947867
Mom+LowVol,10,0.1737438554819648,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.11628897612252886,0.15721998461635622,5022294.485242869,0.8538439876091242,0.023609784438471282,0.22619538565256392
