cell,freq,volume_confirmed,cagr,gross_cagr,cost_drag,sharpe,max_dd,alpha,turnover,roll3y_min,h1_alpha,h2_alpha,headline_ok
vol-monthly,monthly,True,0.22768710625560762,0.28966159313540896,0.06197448687980134,0.6626425295351223,-0.4063232962814242,0.08483818819335992,0.7927649300982708,-0.03657495242467079,0.11731984113946894,0.05513419618947299,False
vol-quarterly,quarterly,True,0.123483335771428,0.14255516790116163,0.019071832129733624,0.23561758005771086,-0.7550175393364598,-0.021867689594140455,0.77321988953635,-0.233400077070254,0.003832273469041747,-0.04470523834756476,False
novol-quarterly,quarterly,False,0.1496241733177226,0.17222435791626434,0.02260018459854174,0.3781023649169386,-0.5043526630702538,0.008745422248969847,0.8861199461234379,-0.06365342046766853,0.02782122847634172,-0.006796054137953145,False
