2026-05-30 20:02:36 | risk_manager         | INFO    | TRAILING STOP: CIPLA @ 337.39 (stop=340.54)
2026-05-30 20:02:36 | risk_manager         | INFO    | TRAILING STOP: ONGC @ 95.97 (stop=96.08)
2026-05-30 20:02:36 | risk_manager         | INFO    | TIME STOP: TATACONSUM after 61 days (max=60)
2026-05-30 20:02:36 | risk_manager         | INFO    | TIME STOP: GRASIM after 61 days (max=60)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 166.64 (stop=167.06)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: BAJAJFINSV @ 85.26 (stop=86.60)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: SUNPHARMA @ 312.95 (stop=315.22)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: TATACONSUM @ 125.31 (stop=127.91)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: HINDUNILVR @ 428.40 (stop=429.49)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: CIPLA @ 328.05 (stop=329.05)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: GRASIM @ 468.83 (stop=471.42)
2026-05-30 20:02:38 | risk_manager         | INFO    | TRAILING STOP: ITC @ 116.72 (stop=116.97)
2026-05-30 20:02:40 | risk_manager         | INFO    | TIME STOP: ULTRACEMCO after 60 days (max=60)
2026-05-30 20:02:40 | risk_manager         | INFO    | TIME STOP: SHREECEM after 60 days (max=60)
2026-05-30 20:02:40 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 765.28 (stop=768.94)
2026-05-30 20:02:40 | risk_manager         | INFO    | TRAILING STOP: GRASIM @ 451.64 (stop=455.06)
2026-05-30 20:02:40 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 213.18 (stop=219.18)
2026-05-30 20:02:40 | risk_manager         | INFO    | TRAILING STOP: TATACONSUM @ 134.62 (stop=138.60)
2026-05-30 20:02:40 | risk_manager         | INFO    | TRAILING STOP: JSWSTEEL @ 60.78 (stop=60.93)
2026-05-30 20:02:40 | risk_manager         | INFO    | TIME STOP: BAJFINANCE after 60 days (max=60)
2026-05-30 20:02:40 | risk_manager         | INFO    | TIME STOP: HCLTECH after 60 days (max=60)
2026-05-30 20:02:40 | risk_manager         | INFO    | TIME STOP: DIVISLAB after 60 days (max=60)
2026-05-30 20:02:42 | risk_manager         | INFO    | TRAILING STOP: GRASIM @ 445.52 (stop=446.24)
2026-05-30 20:02:42 | risk_manager         | INFO    | TRAILING STOP: TITAN @ 266.70 (stop=269.95)
2026-05-30 20:02:42 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 487.80 (stop=489.50)
2026-05-30 20:02:42 | risk_manager         | INFO    | TRAILING STOP: ITC @ 119.84 (stop=120.37)
2026-05-30 20:02:42 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 11.72 (stop=11.73)
2026-05-30 20:02:42 | risk_manager         | INFO    | TIME STOP: MARUTI after 60 days (max=60)
2026-05-30 20:02:42 | risk_manager         | INFO    | TIME STOP: INDUSINDBK after 60 days (max=60)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: LT @ 569.39 (stop=572.58)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: TITAN @ 252.17 (stop=255.90)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: BAJAJFINSV @ 85.83 (stop=87.23)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: ULTRACEMCO @ 1771.08 (stop=1775.51)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: MARUTI @ 1341.53 (stop=1353.24)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 61.90 (stop=62.16)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: HDFCBANK @ 147.77 (stop=148.09)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 384.06 (stop=385.95)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: HCLTECH @ 119.15 (stop=119.98)
2026-05-30 20:02:44 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 240.88 (stop=241.67)
2026-05-30 20:02:44 | risk_manager         | INFO    | TIME STOP: ASIANPAINT after 60 days (max=60)
2026-05-30 20:02:44 | risk_manager         | INFO    | TIME STOP: ICICIBANK after 60 days (max=60)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 11.95 (stop=12.05)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 239.47 (stop=241.99)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: AXISBANK @ 270.54 (stop=273.45)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: MARUTI @ 1334.39 (stop=1375.38)
