2026-05-30 20:04:27 | rebalancer           | INFO    | Rebalance on 2015-05-04: 13 buys (₹39,017), 1 sells (₹1,431), 0 holds, turnover=1060.6%
2026-05-30 20:04:32 | rebalancer           | INFO    | Rebalance on 2015-06-01: 7 buys (₹15,184), 7 sells (₹7,799), 0 holds, turnover=73.6%
2026-05-30 20:04:38 | rebalancer           | INFO    | Rebalance on 2015-07-01: 7 buys (₹14,766), 4 sells (₹5,903), 3 holds, turnover=94.6%
2026-05-30 20:04:44 | rebalancer           | INFO    | Rebalance on 2015-08-03: 9 buys (₹19,097), 0 sells (₹0), 4 holds, turnover=234.2%
2026-05-30 20:04:49 | rebalancer           | INFO    | Rebalance on 2015-09-01: 10 buys (₹7,531), 1 sells (₹1,589), 0 holds, turnover=315.9%
2026-05-30 20:04:55 | rebalancer           | INFO    | Rebalance on 2015-10-01: 3 buys (₹2,204), 1 sells (₹484), 7 holds, turnover=36.4%
2026-05-30 20:05:01 | rebalancer           | INFO    | Rebalance on 2015-11-02: 11 buys (₹8,695), 0 sells (₹0), 2 holds, turnover=533.6%
2026-05-30 20:05:06 | rebalancer           | INFO    | Rebalance on 2015-12-01: 5 buys (₹3,905), 2 sells (₹2,385), 6 holds, turnover=54.9%
2026-05-30 20:05:12 | rebalancer           | INFO    | Rebalance on 2016-01-01: 11 buys (₹9,532), 1 sells (₹581), 0 holds, turnover=1639.7%
2026-05-30 20:05:18 | rebalancer           | INFO    | Rebalance on 2016-02-01: 11 buys (₹9,634), 0 sells (₹0), 0 holds, turnover=100.0%
2026-05-30 20:05:25 | rebalancer           | INFO    | Rebalance on 2016-03-01: 11 buys (₹8,006), 1 sells (₹274), 0 holds, turnover=731.1%
2026-05-30 20:05:31 | rebalancer           | INFO    | Rebalance on 2016-04-01: 2 buys (₹1,416), 1 sells (₹231), 9 holds, turnover=17.7%
2026-05-30 20:05:37 | rebalancer           | INFO    | Rebalance on 2016-05-02: 11 buys (₹8,577), 0 sells (₹0), 2 holds, turnover=579.7%
2026-05-30 20:05:44 | rebalancer           | INFO    | Rebalance on 2016-06-01: 13 buys (₹34,379), 2 sells (₹1,326), 0 holds, turnover=1114.8%
2026-05-30 20:05:50 | rebalancer           | INFO    | Rebalance on 2016-07-01: 6 buys (₹11,085), 7 sells (₹9,882), 0 holds, turnover=46.2%
2026-05-30 20:05:57 | rebalancer           | INFO    | Rebalance on 2016-08-01: 12 buys (₹30,485), 1 sells (₹218), 0 holds, turnover=250.1%
2026-05-30 20:06:04 | rebalancer           | INFO    | Rebalance on 2016-09-01: 7 buys (₹14,590), 5 sells (₹7,114), 0 holds, turnover=99.7%
2026-05-30 20:06:11 | rebalancer           | INFO    | Rebalance on 2016-10-03: 10 buys (₹17,364), 2 sells (₹3,457), 1 holds, turnover=221.3%
2026-05-30 20:06:18 | rebalancer           | INFO    | Rebalance on 2016-11-01: 10 buys (₹15,189), 2 sells (₹4,557), 2 holds, turnover=128.2%
2026-05-30 20:06:25 | rebalancer           | INFO    | Rebalance on 2016-12-01: 14 buys (₹35,763), 0 sells (₹0), 0 holds, turnover=1353.4%
2026-05-30 20:07:56 | rebalancer           | INFO    | Rebalance on 2012-01-06: 5 buys (₹69,105), 0 sells (₹0), 0 holds, turnover=100.0%
2026-05-30 20:07:57 | rebalancer           | INFO    | Rebalance on 2012-01-13: 5 buys (₹29,567), 4 sells (₹57,344), 0 holds, turnover=100.0%
2026-05-30 20:07:57 | rebalancer           | INFO    | Rebalance on 2012-01-20: 2 buys (₹8,878), 3 sells (₹11,066), 1 holds, turnover=34.4%
2026-05-30 20:07:58 | rebalancer           | INFO    | Rebalance on 2012-01-27: 4 buys (₹8,792), 2 sells (₹8,963), 0 holds, turnover=29.5%
2026-05-30 20:07:59 | rebalancer           | INFO    | Rebalance on 2012-02-03: 5 buys (₹69,901), 4 sells (₹24,420), 0 holds, turnover=286.2%
2026-05-30 20:08:00 | rebalancer           | INFO    | Rebalance on 2012-02-10: 5 buys (₹71,821), 5 sells (₹71,963), 0 holds, turnover=100.0%
2026-05-30 20:08:01 | rebalancer           | INFO    | Rebalance on 2012-02-17: 5 buys (₹68,169), 4 sells (₹55,411), 0 holds, turnover=123.0%
2026-05-30 20:08:02 | rebalancer           | INFO    | Rebalance on 2012-02-24: 5 buys (₹39,415), 3 sells (₹37,568), 0 holds, turnover=58.3%
2026-05-30 20:08:04 | rebalancer           | INFO    | Rebalance on 2012-03-02: 5 buys (₹67,587), 5 sells (₹69,251), 0 holds, turnover=100.0%
2026-05-30 20:08:05 | rebalancer           | INFO    | Rebalance on 2012-03-09: 4 buys (₹40,789), 3 sells (₹43,325), 1 holds, turnover=63.1%
2026-05-30 20:08:06 | rebalancer           | INFO    | Rebalance on 2012-03-16: 5 buys (₹47,235), 1 sells (₹15,846), 0 holds, turnover=68.8%
2026-05-30 20:08:07 | rebalancer           | INFO    | Rebalance on 2012-03-23: 2 buys (₹25,590), 5 sells (₹56,092), 0 holds, turnover=56.0%
2026-05-30 20:08:08 | rebalancer           | INFO    | Rebalance on 2012-03-30: 2 buys (₹29,252), 5 sells (₹31,483), 0 holds, turnover=43.3%
2026-05-30 20:08:09 | rebalancer           | INFO    | Rebalance on 2012-04-04: 5 buys (₹14,991), 1 sells (₹14,303), 0 holds, turnover=20.9%
2026-05-30 20:08:10 | rebalancer           | INFO    | Rebalance on 2012-04-13: 4 buys (₹56,444), 4 sells (₹41,797), 0 holds, turnover=99.2%
2026-05-30 20:08:12 | rebalancer           | INFO    | Rebalance on 2012-04-20: 4 buys (₹30,941), 2 sells (₹30,604), 1 holds, turnover=43.5%
2026-05-30 20:08:13 | rebalancer           | INFO    | Rebalance on 2012-04-27: 4 buys (₹42,222), 4 sells (₹42,143), 0 holds, turnover=60.0%
2026-05-30 20:08:14 | rebalancer           | INFO    | Rebalance on 2012-05-04: 4 buys (₹22,160), 4 sells (₹48,342), 0 holds, turnover=88.4%
2026-05-30 20:08:15 | rebalancer           | INFO    | Rebalance on 2012-05-11: 4 buys (₹24,103), 3 sells (₹17,453), 1 holds, turnover=110.2%
2026-05-30 20:08:17 | rebalancer           | INFO    | Rebalance on 2012-05-18: 4 buys (₹15,945), 2 sells (₹12,665), 1 holds, turnover=66.8%
2026-05-30 20:08:18 | rebalancer           | INFO    | Rebalance on 2012-05-25: 4 buys (₹18,284), 3 sells (₹17,621), 1 holds, turnover=68.1%
2026-05-30 20:08:19 | rebalancer           | INFO    | Rebalance on 2012-06-01: 5 buys (₹26,349), 4 sells (₹22,389), 0 holds, turnover=117.7%
2026-05-30 20:08:21 | rebalancer           | INFO    | Rebalance on 2012-06-08: 5 buys (₹17,449), 3 sells (₹16,080), 0 holds, turnover=63.9%
2026-05-30 20:08:22 | rebalancer           | INFO    | Rebalance on 2012-06-15: 5 buys (₹61,788), 3 sells (₹16,080), 0 holds, turnover=287.8%
2026-05-30 20:08:24 | rebalancer           | INFO    | Rebalance on 2012-06-22: 3 buys (₹14,455), 1 sells (₹14,591), 2 holds, turnover=21.6%
2026-05-30 20:08:25 | rebalancer           | INFO    | Rebalance on 2012-06-29: 4 buys (₹37,900), 3 sells (₹26,213), 0 holds, turnover=68.8%
2026-05-30 20:08:27 | rebalancer           | INFO    | Rebalance on 2012-07-06: 4 buys (₹53,585), 5 sells (₹52,569), 0 holds, turnover=81.7%
2026-05-30 20:08:28 | rebalancer           | INFO    | Rebalance on 2012-07-13: 4 buys (₹52,981), 4 sells (₹53,910), 1 holds, turnover=80.1%
2026-05-30 20:08:30 | rebalancer           | INFO    | Rebalance on 2012-07-20: 5 buys (₹54,508), 4 sells (₹53,699), 0 holds, turnover=81.3%
2026-05-30 20:08:31 | rebalancer           | INFO    | Rebalance on 2012-07-27: 4 buys (₹24,323), 4 sells (₹49,687), 0 holds, turnover=87.9%
2026-05-30 20:08:33 | rebalancer           | INFO    | Rebalance on 2012-08-03: 5 buys (₹60,035), 4 sells (₹25,307), 0 holds, turnover=187.0%
2026-05-30 20:08:35 | rebalancer           | INFO    | Rebalance on 2012-08-10: 4 buys (₹40,134), 3 sells (₹28,314), 0 holds, turnover=75.0%
2026-05-30 20:08:36 | rebalancer           | INFO    | Rebalance on 2012-08-17: 3 buys (₹10,806), 1 sells (₹12,452), 2 holds, turnover=18.8%
2026-05-30 20:08:38 | rebalancer           | INFO    | Rebalance on 2012-08-24: 5 buys (₹42,418), 1 sells (₹14,164), 0 holds, turnover=64.9%
2026-05-30 20:08:40 | rebalancer           | INFO    | Rebalance on 2012-08-31: 3 buys (₹41,228), 5 sells (₹69,134), 0 holds, turnover=74.2%
2026-05-30 20:08:42 | rebalancer           | INFO    | Rebalance on 2012-09-07: 4 buys (₹41,079), 3 sells (₹42,879), 1 holds, turnover=64.5%
2026-05-30 20:08:44 | rebalancer           | INFO    | Rebalance on 2012-09-14: 5 buys (₹52,536), 2 sells (₹20,871), 0 holds, turnover=80.2%
2026-05-30 20:08:46 | rebalancer           | INFO    | Rebalance on 2012-09-21: 3 buys (₹54,708), 3 sells (₹36,028), 1 holds, turnover=70.1%
2026-05-30 20:08:47 | rebalancer           | INFO    | Rebalance on 2012-09-28: 3 buys (₹38,851), 2 sells (₹38,969), 2 holds, turnover=38.4%
2026-05-30 20:08:49 | rebalancer           | INFO    | Rebalance on 2012-10-05: 5 buys (₹71,418), 2 sells (₹40,787), 0 holds, turnover=83.7%
2026-05-30 20:08:51 | rebalancer           | INFO    | Rebalance on 2012-10-12: 3 buys (₹48,996), 4 sells (₹51,334), 0 holds, turnover=49.9%
2026-05-30 20:08:53 | rebalancer           | INFO    | Rebalance on 2012-10-19: 2 buys (₹42,652), 5 sells (₹40,966), 0 holds, turnover=42.6%
2026-05-30 20:08:55 | rebalancer           | INFO    | Rebalance on 2012-10-25: 5 buys (₹60,678), 3 sells (₹64,180), 0 holds, turnover=62.7%
2026-05-30 20:08:57 | rebalancer           | INFO    | Rebalance on 2012-11-02: 2 buys (₹22,006), 2 sells (₹21,386), 2 holds, turnover=22.6%
2026-05-30 20:08:59 | rebalancer           | INFO    | Rebalance on 2012-11-09: 4 buys (₹59,733), 3 sells (₹61,566), 1 holds, turnover=61.9%
2026-05-30 20:09:01 | rebalancer           | INFO    | Rebalance on 2012-11-16: 5 buys (₹70,377), 1 sells (₹23,779), 0 holds, turnover=93.9%
2026-05-30 20:09:03 | rebalancer           | INFO    | Rebalance on 2012-11-23: 4 buys (₹71,700), 2 sells (₹35,231), 0 holds, turnover=116.9%
2026-05-30 20:09:05 | rebalancer           | INFO    | Rebalance on 2012-11-30: 3 buys (₹63,322), 5 sells (₹65,156), 0 holds, turnover=65.6%
2026-05-30 20:09:07 | rebalancer           | INFO    | Rebalance on 2012-12-07: 5 buys (₹84,509), 2 sells (₹41,799), 0 holds, turnover=112.2%
2026-05-30 20:09:09 | rebalancer           | INFO    | Rebalance on 2012-12-14: 2 buys (₹40,699), 5 sells (₹43,698), 0 holds, turnover=44.8%
2026-05-30 20:09:11 | rebalancer           | INFO    | Rebalance on 2012-12-21: 2 buys (₹41,388), 2 sells (₹41,314), 3 holds, turnover=43.8%
2026-05-30 20:09:13 | rebalancer           | INFO    | Rebalance on 2012-12-28: 4 buys (₹56,290), 5 sells (₹87,534), 0 holds, turnover=91.1%
2026-05-30 20:09:16 | rebalancer           | INFO    | Rebalance on 2013-01-04: 5 buys (₹86,770), 4 sells (₹57,225), 0 holds, turnover=131.6%
2026-05-30 20:09:18 | rebalancer           | INFO    | Rebalance on 2013-01-11: 4 buys (₹22,773), 2 sells (₹20,090), 0 holds, turnover=24.1%
2026-05-30 20:09:20 | rebalancer           | INFO    | Rebalance on 2013-01-18: 2 buys (₹40,766), 3 sells (₹40,903), 2 holds, turnover=40.9%
2026-05-30 20:09:22 | rebalancer           | INFO    | Rebalance on 2013-01-25: 5 buys (₹56,201), 1 sells (₹21,555), 0 holds, turnover=88.7%
2026-05-30 20:09:25 | rebalancer           | INFO    | Rebalance on 2013-02-01: 1 buys (₹22,105), 5 sells (₹20,575), 0 holds, turnover=21.7%
2026-05-30 20:09:27 | rebalancer           | INFO    | Rebalance on 2013-02-08: 2 buys (₹38,076), 4 sells (₹38,825), 1 holds, turnover=38.3%
2026-05-30 20:09:29 | rebalancer           | INFO    | Rebalance on 2013-02-15: 2 buys (₹19,628), 2 sells (₹1,634), 1 holds, turnover=24.6%
2026-05-30 20:09:32 | rebalancer           | INFO    | Rebalance on 2013-02-22: 4 buys (₹56,604), 5 sells (₹84,815), 0 holds, turnover=85.9%
2026-05-30 20:09:34 | rebalancer           | INFO    | Rebalance on 2013-03-01: 5 buys (₹69,122), 2 sells (₹29,984), 0 holds, turnover=118.2%
2026-05-30 20:09:36 | rebalancer           | INFO    | Rebalance on 2013-03-08: 3 buys (₹42,122), 3 sells (₹39,342), 1 holds, turnover=42.2%
2026-05-30 20:09:39 | rebalancer           | INFO    | Rebalance on 2013-03-15: 3 buys (₹61,907), 4 sells (₹62,160), 1 holds, turnover=60.6%
2026-05-30 20:09:41 | rebalancer           | INFO    | Rebalance on 2013-03-22: 4 buys (₹60,155), 3 sells (₹61,329), 1 holds, turnover=61.1%
2026-05-30 20:09:43 | rebalancer           | INFO    | Rebalance on 2013-03-28: 2 buys (₹20,623), 2 sells (₹19,741), 2 holds, turnover=20.5%
2026-05-30 20:09:46 | rebalancer           | INFO    | Rebalance on 2013-04-05: 5 buys (₹28,159), 2 sells (₹44,127), 0 holds, turnover=100.0%
2026-05-30 20:09:48 | rebalancer           | INFO    | Rebalance on 2013-04-12: 5 buys (₹22,872), 4 sells (₹22,438), 0 holds, turnover=79.8%
2026-05-30 20:09:51 | rebalancer           | INFO    | Rebalance on 2013-04-18: 5 buys (₹100,175), 5 sells (₹30,124), 0 holds, turnover=332.5%
2026-05-30 20:09:53 | rebalancer           | INFO    | Rebalance on 2013-04-26: 2 buys (₹38,126), 4 sells (₹38,259), 1 holds, turnover=38.7%
2026-05-30 20:09:56 | rebalancer           | INFO    | Rebalance on 2013-05-03: 4 buys (₹38,284), 2 sells (₹38,946), 1 holds, turnover=38.6%
2026-05-30 20:09:59 | rebalancer           | INFO    | Rebalance on 2013-05-10: 5 buys (₹100,394), 1 sells (₹17,490), 0 holds, turnover=169.3%
2026-05-30 20:10:01 | rebalancer           | INFO    | Rebalance on 2013-05-24: 5 buys (₹97,448), 2 sells (₹40,469), 0 holds, turnover=240.8%
2026-05-30 20:10:04 | rebalancer           | INFO    | Rebalance on 2013-05-31: 3 buys (₹57,340), 4 sells (₹58,702), 1 holds, turnover=59.3%
2026-05-30 20:10:06 | rebalancer           | INFO    | Rebalance on 2013-06-07: 5 buys (₹40,702), 2 sells (₹38,657), 0 holds, turnover=42.9%
2026-05-30 20:10:09 | rebalancer           | INFO    | Rebalance on 2013-06-14: 1 buys (₹21,165), 5 sells (₹21,216), 0 holds, turnover=22.3%
2026-05-30 20:10:12 | rebalancer           | INFO    | Rebalance on 2013-06-21: 4 buys (₹21,231), 3 sells (₹50,079), 0 holds, turnover=89.2%
2026-05-30 20:10:15 | rebalancer           | INFO    | Rebalance on 2013-06-28: 5 buys (₹89,669), 4 sells (₹20,900), 0 holds, turnover=429.0%
2026-05-30 20:10:17 | rebalancer           | INFO    | Rebalance on 2013-07-05: 2 buys (₹25,772), 5 sells (₹53,726), 0 holds, turnover=57.9%
2026-05-30 20:10:20 | rebalancer           | INFO    | Rebalance on 2013-07-12: 3 buys (₹40,208), 5 sells (₹40,845), 0 holds, turnover=61.5%
2026-05-30 20:10:23 | rebalancer           | INFO    | Rebalance on 2013-07-19: 5 buys (₹66,589), 4 sells (₹55,184), 0 holds, turnover=120.7%
