2026-06-02 01:17:03 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:17:08 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:17:08 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:17:11 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:17:14 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:17:19 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:17:24 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:17:24 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:18:58 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:19:01 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:19:06 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:19:11 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:19:11 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:19:26 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:19:29 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:19:34 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:19:39 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:19:39 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:20:49 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:20:53 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:20:58 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:21:03 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:21:03 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:21:05 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:21:08 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:21:13 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:21:18 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:21:18 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 01:22:28 | downloader           | WARNING | Constituents CSV not found at C:\Users\VAIBHAV\OneDrive\Desktop\Stocks\new quant\data\nifty500_constituents.csv. Using sample list of 50 stocks for testing.
2026-06-02 01:22:32 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 1)
2026-06-02 01:22:37 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 2)
2026-06-02 01:22:42 | downloader           | WARNING | TATMOTORS.NS: No data returned (attempt 3)
2026-06-02 01:22:42 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 02:36:00 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
2026-06-02 02:36:23 | downloader           | ERROR   | TATMOTORS.NS: Failed after 3 attempts
