variant,n_stocks,rebalance,cagr,gross_cagr,sharpe,calmar,sortino,max_drawdown,annual_vol,alpha,beta,excess_vs_bm,avg_turnover,total_costs,cost_drag,time_underwater,avg_names,name_hhi,cagr_h1,cagr_h2,roll3y_min,roll3y_med,final_value
STR Top3,3,quarterly,-0.02279703501105379,-0.008050388606557823,-0.22506596104805163,-0.029339408075547312,-0.351701915685244,-0.7770107342436057,0.3900946842526272,-0.16469514597414825,1.0305020623079937,-0.15899499694089458,0.9006750152594049,93942.89073998953,0.014746646404495967,0.9940861729090397,3.0,0.3333442717819515,-0.033863582840233164,-0.011629378284217617,-0.3208838670358799,0.026669547841318697,358706.96626919886
STR Top5,5,quarterly,-0.06888885484161034,-0.05261191124797482,-0.4083936079460331,-0.07710851043217916,-0.6013950161865014,-0.8934014475899075,0.32784267979851195,-0.21384942713447375,1.0715417273470995,-0.20508681677145113,0.9117023199030312,75200.27322021697,0.016276943593635518,0.9929597296536187,5.0,0.2000153396056192,-0.11842116556776039,-0.016696021083556944,-0.40189130949640794,-0.03895947649010445,178878.4478043281
STR Top10,10,quarterly,0.010118372457197156,0.02998958132396834,-0.1995666000217473,0.012331254496717754,-0.27268703047460646,-0.8205468843328465,0.27500407150706707,-0.13614898493706917,1.0890537926647426,-0.12607958947264364,0.9331336675848676,136174.46113882933,0.019871208866771184,0.9923965080259082,10.0,0.10002151993499384,-0.03513210723593341,0.057380575834104164,-0.37183596929511675,0.02460784307878372,578010.1769440825
Champion Mom+LowVol T10,10,quarterly,0.1737438554819648,0.18165530662148455,0.6916668752214834,0.5192030089598016,0.8799897511723479,-0.3346356867808842,0.15721998461635622,0.05363671957428828,0.7384839040844801,0.03754589355212401,0.41907714135338814,214926.17000590087,0.007911451139519743,0.8538439876091242,10.0,0.10001467113656053,0.18109636439349397,0.16645371564109435,0.023609784438471282,0.22619538565256392,5022294.485242869
STR Top3 (M),3,monthly,-0.27102717499772844,-0.19287011063425474,-0.8768268543957128,-0.27273047155936664,-1.3155431288215669,-0.9937546525259924,0.3832309347200708,-0.42011761530510106,1.126885577185674,-0.40722513692756923,0.8966725823781769,140716.83642389058,0.0781570643634737,0.9943677837228949,2.976878612716763,0.33796809575842224,-0.20593594631928291,-0.33065228653641066,-0.6307932728169177,-0.23367490819010656,5270.634888251137
STR Top5 (M),5,monthly,-0.16020942058084708,-0.09391251576337067,-0.6774564206078931,-0.1660578407137722,-0.9950717042264512,-0.9647808251161966,0.3324338123163153,-0.31210026176200817,1.1644134025065473,-0.2964073825106879,0.9107790348356368,194527.7571105939,0.06629690481747641,0.9923965080259082,5.0,0.20035104797159034,-0.18065953468909546,-0.13929724124294718,-0.5808650364879528,-0.14071100397599628,40452.87006374086
STR Top10 (M),10,monthly,-0.08989752881860114,-0.02139598441135704,-0.5469925544021577,-0.10048399098824773,-0.7606771878481029,-0.8946452856267945,0.2831803240683931,-0.2413211932796901,1.1581528251338773,-0.22609549074844193,0.9270040647101333,284547.60185427696,0.0685015444072441,0.9915516755843424,9.988439306358382,0.10020937856937215,-0.11373301565781102,-0.06547752245489846,-0.42775533636952867,-0.07670079988458095,128773.18289087592
