universe,cagr,sharpe,max_dd,alpha,trades,roll3y_min,h1_alpha,h2_alpha,headline_ok
Top-500,-0.013806491648717056,-0.4357641251680138,-0.6796742872115862,-0.13483214836637777,1726,-0.27287171475814587,-0.05955801833049512,-0.20021235157893955,False
All-filtered,0.039114157855103304,-0.14419217047391572,-0.5139260829468839,-0.07868715865788864,1748,-0.1360296872093818,0.021638675606715493,-0.16522020657960984,False
