freq,cagr,gross_cagr,cost_drag,sharpe,max_dd,alpha,turnover,roll3y_min,h1_alpha,h2_alpha,headline_ok
weekly,-0.3858819948636292,0.2677619644941651,0.6536439593577943,-1.9218133849522696,-0.9991271017589434,-0.475126238091779,0.2825611387980714,-0.8721620284006925,-0.7539729276793682,-0.08709861187774567,False
biweekly,-0.37763878589160693,0.16353101344288268,0.5411697993344896,-1.6813110577055976,-0.9990190338653109,-0.49538363368569915,0.573056077214738,-0.7159538217995329,-0.34644462517362573,-0.6083879557906333,False
monthly,-0.023821659773369697,0.12423472015533799,0.14805637992870768,-0.36508765870608195,-0.6256958266406585,-0.16537383456847599,0.9065786510206618,-0.1776991798651243,-0.21234014209930302,-0.12203068534523681,False
