variant,cagr,gross_cagr,sharpe,calmar,sortino,max_drawdown,annual_vol,alpha,beta,excess_vs_bm,avg_turnover,total_costs,cost_drag,time_underwater,avg_names,weight_hhi,avg_max_name_wt,cagr_h1,cagr_h2,roll3y_min,roll3y_med,final_value
A. Equal Weight,0.1737438554819648,0.18165530662148455,0.6916668752214834,0.5192030089598016,0.8799897511723479,-0.3346356867808842,0.15721998461635622,0.05363671957428828,0.7384839040844801,0.03754589355212401,0.41907714135338814,214926.17000590087,0.007911451139519743,0.8538439876091242,10.0,0.10001467113656053,0.10062815847104684,0.18109636439349397,0.16645371564109435,0.023609784438471282,0.22619538565256392,5022294.485242869
B. Inverse Vol,0.16784969931982996,0.17560104999175308,0.6673633092205072,0.5036486381602755,0.8419524922408304,-0.33326745393961604,0.15411350594020568,0.048433979531548516,0.7292183222902592,0.031651737389989165,0.42685014643876257,206386.037020191,0.0077513506719231184,0.8504646578428612,10.0,0.10287758901539092,0.13125662610869177,0.1755946729545521,0.16017322558446834,0.03157610348201456,0.2133720310647198,4671065.201128946
C. ERC,0.17227686698989175,0.18077986202583096,0.699864942880687,0.5093109800156878,0.8807643380877672,-0.33825476722411385,0.15328224121118797,0.05384309640909496,0.7160593425608317,0.03607890506005096,0.4346936994794023,214165.229737941,0.00850299503593921,0.8524359335398479,10.0,0.10465447213998655,0.14066532231979856,0.1742434592523432,0.17031803848987614,0.03788210990366769,0.21259986794558094,4932651.234620452
D. Min Variance,0.16897701013651578,0.17843324057123922,0.6922254350972092,0.4858558986575792,0.86744017008087,-0.3477924434043089,0.15020686161570224,0.055227886498645476,0.6532809690038082,0.03277904820667499,0.5063720887912211,227045.18416606548,0.009456230434723434,0.8482117713320192,9.368421052631579,0.1635148641316895,0.25666606193318325,0.15828140383436118,0.17974666915555093,0.07038568280133539,0.19400072526425138,4736420.271850347
