date,portfolio_value
2026-04-03,500000.0
2026-04-10,504867.68
2026-04-17,511794.29
2026-04-24,511891.59
2026-05-01,506828.96
2026-05-08,505420.31
2026-05-15,514066.53
2026-05-22,511407.95
2026-05-29,512670.09
