variant,cagr_net,cagr_gross,cost_drag,max_drawdown,sharpe,calmar,alpha,annual_vol,beta,sortino,total_return,final_value,trades,avg_turnover,total_costs,time_underwater,roll3y_min,roll3y_med,roll3y_max,excess_vs_bmk
A. Pure Momentum,0.18069052260410046,0.19384530263076205,0.013154780026661594,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.12762606373884128,0.2823983878961173,0.046688285485903126,0.5307224510687943,9.935496613754745,5467748.306877373,888,0.5929164724763364,230259.31999829412,0.9183328639819769,-0.08528184349486134,0.21771718921104632,0.541805513827845,0.05498677590773249
B. 52-Week High,0.1779480152316255,0.1952239887231495,0.017275973491523988,-0.42317145139853224,0.5042510384635281,0.4205104447465161,0.12341460976084728,0.22399163634007052,0.040942203451767446,0.6343952355250692,9.575333925194535,5287666.962597268,1091,0.9175793127197494,541754.0906033601,0.9039707124753591,-0.03254143716528857,0.16961665173236007,0.5813472695373625,0.05224426853525754
C. Mom + LowVol,0.1737438554819648,0.18165530662148455,0.007911451139519743,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.11628897612252886,0.15721998461635622,0.029514266887060953,0.8799897511723479,9.044588970485737,5022294.485242869,776,0.41907714135338814,214926.17000590087,0.8538439876091242,0.023609784438471282,0.22619538565256392,0.3634705895257275,0.048040108785596836
D. 52WH + LowVol,0.0910378926614821,0.10287471880312271,0.01183682614164061,-0.28909255578615434,0.1887898941644629,0.3149091556989937,0.03225599486970866,0.13791994945873207,0.024323365635529743,0.23761274466682683,2.5069942458023537,1753497.1229011768,887,0.6062149922013211,162936.72432591856,0.8966488313151225,-0.038821208520097295,0.10328212792055447,0.23610446779943617,-0.03466585403488587
