Date,Close
2011-01-03,4967.29345703125
2011-01-04,4957.09375
2011-01-05,4903.09375
2011-01-06,4865.04345703125
2011-01-07,4750.74365234375
2011-01-10,4636.1943359375
2011-01-11,4624.9443359375
2011-01-12,4709.84375
2011-01-13,4639.7939453125
2011-01-14,4566.744140625
2011-01-17,4553.64404296875
2011-01-18,4598.34423828125
2011-01-19,4583.84423828125
2011-01-20,4597.6943359375
2011-01-21,4592.6943359375
2011-01-24,4628.6943359375
2011-01-25,4589.494140625
2011-01-27,4513.994140625
2011-01-28,4427.494140625
2011-01-31,4424.59423828125
2011-02-01,4352.14404296875
2011-02-02,4362.34423828125
2011-02-03,4429.89404296875
2011-02-04,4339.5439453125
2011-02-07,4332.09423828125
2011-02-08,4255.69482421875
2011-02-09,4178.29443359375
2011-02-10,4164.29443359375
2011-02-11,4240.44482421875
2011-02-14,4365.744140625
2011-02-15,4384.59423828125
2011-02-16,4391.34423828125
2011-02-17,4439.994140625
2011-02-18,4365.2939453125
2011-02-21,4403.1943359375
2011-02-22,4363.4443359375
2011-02-23,4338.744140625
2011-02-24,4201.19482421875
2011-02-25,4226.74462890625
2011-02-28,4247.14453125
2011-03-01,4391.744140625
2011-03-03,4400.6943359375
2011-03-04,4403.744140625
2011-03-07,4346.5439453125
2011-03-08,4390.59423828125
2011-03-09,4404.2939453125
2011-03-10,4382.1943359375
2011-03-11,4343.6943359375
2011-03-14,4399.64404296875
2011-03-15,4334.6943359375
2011-03-16,4386.4443359375
2011-03-17,4346.89404296875
2011-03-18,4298.39404296875
2011-03-21,4289.2939453125
2011-03-22,4326.494140625
2011-03-23,4373.34423828125
2011-03-24,4406.64404296875
2011-03-25,4493.34423828125
2011-03-28,4518.2939453125
2011-03-29,4548.994140625
2011-03-30,4598.4443359375
2011-03-31,4626.4443359375
2011-04-01,4640.0439453125
2011-04-04,4707.19384765625
2011-04-05,4722.84375
2011-04-06,4718.59375
2011-04-07,4727.34375
2011-04-08,4684.49365234375
2011-04-11,4643.09423828125
2011-04-13,4730.49365234375
2011-04-15,4679.79345703125
2011-04-18,4608.994140625
2011-04-19,4617.6943359375
2011-04-20,4694.69384765625
2011-04-21,4711.54345703125
2011-04-25,4708.34375
2011-04-26,4704.84375
2011-04-27,4687.99365234375
2011-04-28,4650.4443359375
2011-04-29,4615.2939453125
2011-05-02,4573.64404296875
2011-05-03,4471.994140625
2011-05-04,4448.64404296875
2011-05-05,4390.59423828125
2011-05-06,4460.4443359375
2011-05-09,4463.994140625
2011-05-10,4458.1943359375
2011-05-11,4480.6943359375
2011-05-12,4424.59423828125
2011-05-13,4470.34423828125
2011-05-16,4436.09423828125
2011-05-17,4395.9443359375
2011-05-18,4375.244140625
2011-05-19,4372.0439453125
2011-05-20,4411.89404296875
2011-05-23,4338.244140625
2011-05-24,4347.1943359375
2011-05-25,4317.89404296875
2011-05-26,4354.9443359375
2011-05-27,4409.7939453125
2011-05-30,4421.64404296875
2011-05-31,4492.89404296875
2011-06-01,4517.7939453125
2011-06-02,4482.5439453125
2011-06-03,4457.89404296875
2011-06-06,4465.494140625
2011-06-07,4489.9443359375
2011-06-08,4473.244140625
2011-06-09,4468.2939453125
2011-06-10,4442.7939453125
2011-06-13,4444.34423828125
2011-06-14,4460.5439453125
2011-06-15,4422.994140625
2011-06-16,4384.64404296875
2011-06-17,4357.744140625
2011-06-20,4263.24462890625
2011-06-21,4268.3447265625
2011-06-22,4258.49462890625
2011-06-23,4281.0947265625
2011-06-24,4392.1943359375
2011-06-27,4439.34423828125
2011-06-28,4454.34423828125
2011-06-29,4492.2939453125
2011-06-30,4522.9443359375
2011-07-01,4522.0439453125
2011-07-04,4549.14404296875
2011-07-05,4537.09423828125
2011-07-06,4535.2939453125
2011-07-07,4607.84423828125
2011-07-08,4554.7939453125
2011-07-11,4523.0439453125
2011-07-12,4459.2939453125
2011-07-13,4508.39404296875
2011-07-14,4525.494140625
2011-07-15,4514.64404296875
2011-07-18,4509.744140625
2011-07-19,4538.744140625
2011-07-20,4498.09423828125
2011-07-21,4475.6943359375
2011-07-22,4544.2939453125
2011-07-25,4577.744140625
2011-07-26,4504.84423828125
2011-07-27,4491.2939453125
2011-07-28,4444.89404296875
2011-07-29,4424.0439453125
2011-08-01,4440.84423828125
2011-08-02,4392.9443359375
2011-08-03,4359.2939453125
2011-08-04,4311.5439453125
2011-08-05,4220.49462890625
2011-08-08,4150.49462890625
2011-08-09,4107.69482421875
2011-08-10,4182.24462890625
2011-08-11,4164.74462890625
2011-08-12,4121.3447265625
2011-08-16,4081.294677734375
2011-08-17,4081.294677734375
2011-08-18,3994.144775390625
2011-08-19,3925.794921875
2011-08-22,3970.494873046875
2011-08-23,4010.694580078125
2011-08-24,3970.094970703125
2011-08-25,3929.494873046875
2011-08-26,3851.544921875
2011-08-29,3977.344970703125
2011-08-30,4038.3447265625
